#
# The Tor Project
#
# URL: https://metrics.torproject.org/networksize.csv?start=2021-12-27&end=2022-05-28
#
date,relays,bridges
2021-12-27,6637,2124
2021-12-28,6660,2136
2021-12-29,6694,2166
2021-12-30,6685,2213
2021-12-31,6681,2223
2022-01-01,6728,2226
2022-01-02,6758,2237
2022-01-03,6770,2256
2022-01-04,6782,2265
2022-01-05,6819,2325
2022-01-06,6855,2336
2022-01-07,6924,2330
2022-01-08,6886,2332
2022-01-09,6886,2353
2022-01-10,6819,2327
2022-01-11,6760,2302
2022-01-12,6729,2309
2022-01-13,6716,2328
2022-01-14,6700,2309
2022-01-15,6755,2339
2022-01-16,6862,2410
2022-01-17,6794,2361
2022-01-18,6668,2310
2022-01-19,6635,2310
2022-01-20,6685,2343
2022-01-21,6764,2414
2022-01-22,6767,2420
2022-01-23,6774,2475
2022-01-24,6777,2478
2022-01-25,6790,2482
2022-01-26,6792,2476
2022-01-27,6787,2470
2022-01-28,6799,2463
2022-01-29,6793,2462
2022-01-30,6764,2460
2022-01-31,6793,2463
2022-02-01,6847,2478
2022-02-02,6824,2464
2022-02-03,6849,2462
2022-02-04,6908,2482
2022-02-05,6705,2452
2022-02-06,6882,2485
2022-02-07,6892,2472
2022-02-08,6894,2399
2022-02-09,6915,2464
2022-02-10,6862,2411
2022-02-11,6820,2390
2022-02-12,6793,2382
2022-02-13,6817,2387
2022-02-14,6821,2386
2022-02-15,6808,2396
2022-02-16,6812,2409
2022-02-17,6725,2406
2022-02-18,6731,2392
2022-02-19,6730,2380
2022-02-20,6804,2419
2022-02-21,6841,2456
2022-02-22,6843,2455
2022-02-23,6946,2447
2022-02-24,6959,2471
2022-02-25,6948,2458
2022-02-26,6970,2431
2022-02-27,6976,2476
2022-02-28,7002,2559
2022-03-01,7050,2626
2022-03-02,7061,2644
2022-03-03,7000,2568
2022-03-04,7112,2583
2022-03-05,7179,2672
2022-03-06,7214,2804
2022-03-07,7192,2834
2022-03-08,7170,2850
2022-03-09,7184,2865
2022-03-10,7240,2887
2022-03-11,7254,2917
2022-03-12,7230,2946
2022-03-13,7180,2953
2022-03-14,7133,2959
2022-03-15,7123,2940
2022-03-16,7120,2929
2022-03-17,7243,2946
2022-03-18,7095,2972
2022-03-19,7204,2981
2022-03-20,7222,2977
2022-03-21,7192,2910
2022-03-22,7031,2840
2022-03-23,6870,2843
2022-03-24,6864,2845
2022-03-25,6868,2839
2022-03-26,6843,2842
2022-03-27,6872,2846
2022-03-28,6856,2828
2022-03-29,6905,2800
2022-03-30,6881,2812
2022-03-31,6865,2800
2022-04-01,6941,2848
2022-04-02,6956,2845
2022-04-03,6962,2843
2022-04-04,6957,2832
2022-04-05,6947,2814
2022-04-06,6951,2837
2022-04-07,6938,2839
2022-04-08,6987,2839
2022-04-09,6983,2837
2022-04-10,6991,2828
2022-04-11,6962,2846
2022-04-12,6949,2856
2022-04-13,6933,2846
2022-04-14,6840,2832
2022-04-15,6856,2825
2022-04-16,6840,2828
2022-04-17,6812,2827
2022-04-18,6793,2829
2022-04-19,6822,2833
2022-04-20,6887,2824
2022-04-21,6838,2823
2022-04-22,6836,2818
2022-04-23,6862,2818
2022-04-24,6857,2820
2022-04-25,6898,2804
2022-04-26,6907,2781
2022-04-27,6891,2774
2022-04-28,6934,2770
2022-04-29,6957,2769
2022-04-30,6999,2774
2022-05-01,7083,2802
2022-05-02,7108,2802
2022-05-03,7112,2787
2022-05-04,7082,2775
2022-05-05,7035,2764
2022-05-06,6958,2754
2022-05-07,7031,2779
2022-05-08,7048,2777
2022-05-09,7044,2752
2022-05-10,7051,2747
2022-05-11,7054,2727
2022-05-12,7081,2709
2022-05-13,7102,2703
2022-05-14,7109,2685
2022-05-15,7100,2671
2022-05-16,7075,2677
2022-05-17,7060,2667
2022-05-18,7069,2650
2022-05-19,7051,2641
2022-05-20,7030,2622
2022-05-21,7046,2642
2022-05-22,7022,2632
2022-05-23,7071,2626
2022-05-24,7111,2646
2022-05-25,7170,2745
2022-05-26,7051,2732
