date,users_bridge_ukr,users_relay_ukr,users_br_perc_ukr,users_bridge_rus,users_relay_rus,users_br_perc_rus,users_bridge,users_relay,users_br_perc
2020-12-27,635,49319,1.2711694759178445,8223,335037,2.395560216745324,37592,2244586,1.6471984218584177
2020-12-28,642,50568,1.2536613942589339,8349,343418,2.3734460594654982,38468,2326926,1.6262829786496458
2020-12-29,689,49571,1.3708714683645045,8982,343044,2.551516081198548,40258,2318827,1.7065090914485912
2020-12-30,701,48786,1.4165336350960858,9406,341685,2.679077504122863,40872,2271025,1.767898829402867
2020-12-31,624,45661,1.3481689532245869,8820,311808,2.750851454021483,38128,2131874,1.7570490718441734
2021-01-01,613,47101,1.284738231965461,8521,313827,2.6434164319307083,37384,2148267,1.710428609142082
2021-01-02,637,49285,1.275990545250591,8904,328676,2.6375970140411162,39191,2205771,1.7457311081434785
2021-01-03,668,49086,1.3426056196486715,8969,328030,2.6614322297692277,39817,2220916,1.761242924308178
2021-01-04,673,51005,1.3022949804559,8993,342207,2.5606492027334853,39906,2343856,1.6740765227401058
2021-01-05,685,54868,1.233056720609148,8883,367822,2.3580786026200875,39866,2432189,1.6126663848498517
2021-01-07,649,54391,1.179142441860465,8651,365376,2.312934627714042,39788,2252166,1.735985975285717
2021-01-08,689,54429,1.2500453572335717,8727,374044,2.279953287997262,39463,2279236,1.7019457894276058
2021-01-09,664,59843,1.0973936899862824,7174,306479,2.2872409956225512,37301,1948607,1.8782843918247976
2021-01-11,534,84060,0.6312504432938506,7040,314452,2.18979010364177,33146,2525170,1.295617898648955
2021-01-12,610,75252,0.8040916400833091,8066,355265,2.2200142569722923,37418,2676349,1.3788213947623358
2021-01-13,668,60202,1.0974207327090522,8424,404182,2.0416571741564593,40929,2427259,1.6582610400828461
2021-01-14,671,54506,1.2160864128169346,8814,381460,2.2584133198727048,40708,2328561,1.7181670802260105
2021-01-15,671,54537,1.2154035647007682,8923,386179,2.2584041589260493,40070,2328039,1.6920673837226243
2021-01-16,704,53237,1.3051296787230493,8104,366665,2.162398704268496,40522,2251113,1.7682571613716846
2021-01-17,642,57034,1.1131146404050212,8647,362676,2.3287003498302017,39424,2283719,1.697011333353134
2021-01-18,651,71425,0.9032132748765193,8575,348925,2.3986013986013988,40298,2383947,1.6622907338160953
2021-01-19,649,63720,1.008249312557287,8700,370616,2.29360216811313,41101,2473653,1.634394457668623
2021-01-21,662,60517,1.0820706451560176,8782,356876,2.401697761296074,40292,2388745,1.6587643580562996
2021-01-22,684,52659,1.282267588999494,8909,336671,2.5779848370854794,40139,2231991,1.7665802572916163
2021-01-23,679,49746,1.3465542885473476,8948,320996,2.7119753655165724,40392,2159225,1.8363196865636155
2021-01-24,699,49204,1.4007173917399756,8865,323952,2.6636259566067837,40606,2135645,1.8658693321680266
2021-01-25,688,51682,1.3137292342944433,8772,337886,2.5304478765815297,40694,2208451,1.8093097599309962
2021-01-26,661,50635,1.2885995009357454,8655,333595,2.528853177501826,40562,2168848,1.8358747357891927
2021-01-27,646,52180,1.2228826714118048,8854,319916,2.6930681023207717,39821,2891403,1.3585109838074472
2021-01-28,670,64989,1.0204237042903486,8986,388969,2.258044251234436,41335,4176461,0.9800142064718161
2021-01-29,681,51188,1.3129229404846825,9612,341018,2.7413512819781536,41322,2096609,1.9328032569806979
2021-01-30,681,49999,1.3437253354380425,9280,317807,2.837165647060262,40322,1979425,1.9963886565990692
2021-01-31,678,48728,1.3723029591547584,8974,325041,2.6867056868703503,40205,1995595,1.9748993024855093
2021-02-01,669,51930,1.271887298237609,8921,360160,2.417084596606165,40887,2240069,1.792537865701925
2021-02-02,675,52103,1.2789419834021751,8967,346396,2.5233352937700326,41691,2201021,1.8589546941381683
2021-02-03,665,55387,1.1863983443944908,9043,345434,2.5510822987104946,41873,2281578,1.8021899321311274
2021-02-04,703,57853,1.200560147551062,9497,351343,2.6319144219044452,42234,2345653,1.768676658485096
2021-02-05,683,57808,1.1677010138311879,9673,350601,2.6849009365094343,42175,2256186,1.835003291475969
2021-02-06,646,57860,1.1041602570676512,9665,344703,2.7273907350550837,42030,2207700,1.868224186902428
2021-02-07,675,51354,1.2973533990659056,9347,315568,2.8767523813920564,42143,2064193,2.0007729061270374
2021-02-08,703,57087,1.2164734383111264,9334,372146,2.4467862011114607,42266,2318438,1.7903981185273545
2021-02-09,687,58785,1.1551654560129136,9311,392833,2.3153397787857086,42023,2414572,1.710619780631321
2021-02-10,673,56762,1.1717593801688866,9674,371526,2.537775445960126,41777,2335105,1.7576387889680682
2021-02-11,698,56469,1.2209841342032992,9592,351755,2.6545121448358504,41344,2191131,1.8519356319779616
2021-02-12,701,56086,1.2344374592776515,10070,347086,2.819496242538275,44434,2165908,2.010277142632226
2021-02-13,667,52290,1.2595124346167645,9711,314437,2.9958537458198107,45997,2136585,2.107458047395241
2021-02-14,644,52134,1.2202053886088902,9301,312854,2.8871195542518353,44294,2117452,2.0489918797120477
2021-02-15,640,53254,1.1875162355735331,9184,325732,2.7421801287487013,43764,2282797,1.8810596412473173
2021-02-16,651,54470,1.18103807986067,9273,327223,2.75575341163045,43375,2244242,1.8960778836667154
2021-02-17,647,54944,1.1638574589411956,9253,332289,2.709183643592882,43470,2208656,1.9301761979569527
2021-02-18,631,58115,1.0741156844721342,9100,341878,2.5927551014593506,46580,2255781,2.0231405935037987
2021-02-19,646,57413,1.1126612583751012,9515,341260,2.7125650345663175,46097,2218039,2.03596427069752
2021-02-20,607,52835,1.1358107855244939,8847,336006,2.5654409270036798,45717,2143197,2.0885699483853637
2021-02-21,664,53471,1.2265632215756903,9914,323055,2.9774543576128707,45684,2157780,2.0732809794033398
2021-02-22,705,54743,1.271461549559948,10257,316677,3.1373304703701663,47138,2319929,1.99140962211885
2021-02-23,705,54070,1.2870835235052487,9853,302759,3.1518303839903776,45503,2137154,2.0847526661312337
2021-02-24,712,53473,1.3140167943157701,9746,306623,3.0805799556846596,42687,2065278,2.0250336224747567
2021-02-25,682,55480,1.2143442185107367,9587,317484,2.9311678504055694,42194,2075988,1.9919912453226398
2021-02-26,705,53878,1.2916109411355186,10033,315592,3.081151631477927,42080,2021917,2.0387626532402905
2021-02-27,675,50203,1.326703093675066,8868,301968,2.852951395591244,41381,1929814,2.099284951514183
2021-02-28,682,49626,1.3556492009223184,9402,299213,3.0465142653467914,41546,1929617,2.1076897242896706
2021-03-01,706,56696,1.2299223023588028,9181,327749,2.724898346837622,41925,2111874,1.9465604729132107
2021-03-02,686,56287,1.2040791251996559,9148,332128,2.6805283699996485,41714,2155648,1.8983672239712892
2021-03-03,694,54957,1.2470575551203034,9418,317565,2.8802720630736154,43643,2103033,2.033050166862629
2021-03-04,735,54648,1.327122041059531,10052,314444,3.0977269365415907,47900,2102367,2.2276303361396512
2021-03-05,732,54246,1.3314416675761214,10302,318189,3.1361589815246083,47257,2079469,2.222053992850983
2021-03-06,741,51248,1.4253015060878262,10432,310156,3.2540207368959537,46484,2065159,2.2013190676643735
2021-03-07,786,50913,1.5203388846979633,10700,306157,3.376917663172977,46757,2051887,2.2279624366972195
2021-03-08,774,52060,1.464965741757202,10278,305804,3.25168785315203,48732,2115219,2.251991842698841
2021-03-09,772,56644,1.3445729413403928,10220,334927,2.9610571727408903,49729,2196867,2.2135265975725056
2021-03-10,781,56298,1.3682790518404315,10225,333399,2.9756361604544503,49685,2173142,2.235216685778965
2021-03-11,791,56263,1.3864058611140322,10309,330816,3.022059362403811,49510,2144258,2.2568475791423706
2021-03-12,794,58036,1.3496515383307837,10628,329898,3.121053898968067,49961,2139019,2.2823872305822803
2021-03-13,765,54195,1.3919213973799127,10563,315476,3.239796466066943,49991,2061958,2.3670552650655865
2021-03-14,761,53263,1.408633200059233,10478,315516,3.2141695859432993,49777,2062443,2.356620049047921
2021-03-15,783,57126,1.352121431901777,10411,333897,3.023746180745147,50044,2161118,2.2632443936717435
2021-03-16,771,56257,1.3519674545837133,10187,330419,2.9908457279084923,51198,2173178,2.301679212507238
2021-03-17,794,56561,1.384360561415744,9105,332990,2.6615413847030798,51516,2208272,2.2796828729066623
2021-03-18,715,53753,1.3126973635896306,9869,324183,2.9543304635206495,48130,2153251,2.186354838167496
2021-03-19,662,51621,1.2661859495438288,9688,327326,2.874658026076068,44566,2141880,2.0382849610738156
2021-03-20,669,50598,1.3049329978348645,8196,322059,2.481718671935323,40128,2090602,1.8832982123497581
2021-03-21,674,49319,1.3481887464244995,9463,326029,2.820633576955635,41324,2122915,1.9094009487861552
2021-03-22,674,52151,1.2759110269758636,9012,343304,2.557930948353183,40728,2225022,1.7975504799735187
2021-03-23,674,53691,1.2397682332382967,8575,349414,2.395324996019431,40747,2283670,1.752998708923571
2021-03-24,674,52455,1.268610363454987,9219,337582,2.6582968330541146,41611,2283188,1.7898751677026703
2021-03-25,672,51128,1.2972972972972971,9219,331491,2.705820198996214,40697,2280650,1.7531631419171714
2021-03-26,672,49072,1.3509166934705692,9432,330609,2.7737831614422968,40878,2210108,1.816004186609779
2021-03-27,635,43507,1.438539259662,7906,300782,2.5611620795107033,39576,2031097,1.911262666775488
2021-03-28,702,42897,1.6101286726759787,9655,302947,3.08859188360919,41915,2016153,2.036618809485401
2021-03-29,775,44096,1.727173452786878,10300,305021,3.2665125380168143,45359,2008438,2.2085434928573755
2021-03-30,673,44375,1.4939619960930564,9069,297025,2.9628153443059975,41834,1933183,2.118158982935337
2021-03-31,680,46125,1.4528362354449311,9207,312900,2.858366940178264,42847,1963011,2.136093382482708
2021-04-01,645,46917,1.3561246373155038,9251,317159,2.8341656199258605,43233,2003498,2.1122951672691723
2021-04-02,643,47606,1.3326701071524798,9574,317921,2.923403410739095,43626,1988766,2.1465347236163104
2021-04-03,667,45006,1.460381406958159,10079,312391,3.125562067789252,43374,1997659,2.125100378092858
2021-04-04,706,43989,1.5795950330014543,10014,308992,3.139125909857495,42457,2019771,2.058792723210043
2021-04-05,735,46784,1.5467497211641659,10092,319880,3.058441322294013,43966,2101762,2.049001550988755
2021-04-06,728,48223,1.4872014872014874,11176,333690,3.2406789883606963,45533,2153045,2.071020450491181
2021-04-07,757,51727,1.4423443335111652,10409,323422,3.1180447591745524,45139,2182407,2.026400352675096
2021-04-08,759,51139,1.4624841034336584,10509,332159,3.0668168606347836,45512,2220595,2.008378245157885
2021-04-09,726,49846,1.4355769991299532,10980,329410,3.2257116836569817,45306,2224121,1.9963629585794123
2021-04-10,705,50588,1.3744565535258222,10604,330325,3.1103250236852835,45039,2183576,2.0209412572382397
2021-04-11,721,53429,1.3314866112650046,10466,344131,2.951519612405068,43984,2282064,1.8909326032824776
2021-04-12,739,53773,1.3556648077487525,10593,340752,3.014985270887589,45444,2363423,1.8865300574917587
2021-04-13,734,53976,1.3416194479985377,10109,333593,2.941210699966832,45168,2381422,1.8613774885745016
2021-04-14,734,50111,1.4436031074835285,8823,321280,2.6728021253972245,43551,2352123,1.8179017679367058
2021-04-15,700,50129,1.3771665781345295,10117,320783,3.0574191598670293,43429,2400137,1.7772795987503511
2021-04-16,712,50974,1.3775490461633713,10269,335869,2.966735810572662,43064,2361454,1.7909618476551223
2021-04-17,739,46322,1.5703023735152248,8970,310906,2.804211632007403,42537,2154786,1.9358555842723169
2021-04-18,715,45848,1.535553980628396,9800,300555,3.1576742762320564,43476,2063030,2.0638915816048
2021-04-19,784,48071,1.6047487462900418,10080,315348,3.0974593458460857,45709,2158133,2.0740597556449147
2021-04-20,750,47402,1.5575677022761256,10009,313652,3.0924331321969594,45929,2055400,2.185711994647197
2021-04-21,719,47766,1.4829328658347942,10126,315241,3.112177940602458,46531,2097554,2.1702031402672937
2021-04-22,763,46410,1.6174506603353611,10629,311384,3.3007984149708243,50076,2175512,2.2500121316254402
2021-04-23,735,47045,1.5383005441607367,10799,305492,3.414260917952139,49692,2140776,2.268556308514893
2021-04-24,710,44515,1.5699281370923162,10697,297617,3.4695148452551616,48693,2021919,2.351623577956662
2021-04-25,714,46333,1.5176313048653474,10776,301399,3.451909986385841,49088,2030131,2.360886467466871
2021-04-26,728,48532,1.4778725131952903,10529,305986,3.326540606290381,48911,2139015,2.235496081677351
2021-04-27,730,48741,1.4756119746922438,10152,310978,3.161336530377106,47483,2146619,2.1641199907752693
2021-04-28,726,45626,1.5662754573696929,10070,295075,3.3000704583067066,50505,2059651,2.393424941094403
2021-04-29,756,46262,1.6078948487813178,10578,298137,3.426461299256596,51089,2050236,2.4312755047410564
2021-04-30,746,45668,1.6072736674279313,11035,302119,3.523825338331939,49561,1997016,2.4216533265056723
2021-05-01,659,44472,1.460193658460925,10714,294065,3.515334061729975,47190,1998079,2.3072759622328407
2021-05-02,645,42755,1.4861751152073732,10228,278255,3.5454428857159694,46374,2021842,2.242222282392168
2021-05-03,697,43435,1.5793528505392913,10358,293290,3.4111866371588153,47718,2163268,2.158222621038758
2021-05-04,711,47820,1.465042962230327,10423,311406,3.2386764399727803,48160,2239705,2.1050193083945077
2021-05-05,695,48737,1.4059718401035766,10338,309106,3.2362479808667564,47645,2235230,2.087061271423096
2021-05-06,699,45188,1.5233072547780417,10298,299815,3.3207250260388954,49098,2215725,2.1678515274703587
2021-05-07,677,44885,1.4858873622755806,10339,294401,3.39272822734134,48895,2195463,2.1785740064642094
2021-05-08,663,44753,1.4598379425753039,10163,286417,3.426731404680019,47877,2147172,2.1811358197470763
2021-05-09,640,42477,1.4843333256024307,10045,282183,3.4373845079869145,46459,2120693,2.143781331443295
2021-05-10,669,41504,1.5863230028691344,10090,280817,3.4684624295737128,46041,2192230,2.056989524503512
2021-05-11,692,45877,1.485967059631944,9718,308699,3.0519727275867807,46891,2260122,2.032541645842481
2021-05-12,652,45996,1.3977019379180242,9279,317948,2.8356462027888893,44828,2089234,2.100595015515013
2021-05-13,712,43954,1.5940536425916803,9218,310203,2.8858465786532506,45426,1967551,2.2566576766649593
2021-05-14,612,42311,1.425809006826177,10002,301241,3.213566248879493,40674,1946744,2.04657500334605
2021-05-15,600,41231,1.4343429513996797,10077,290889,3.348218735671139,41324,1948074,2.077211297085852
2021-05-16,583,41505,1.3851929291009315,9741,288634,3.2646837033933807,41671,1957306,2.084616281227848
2021-05-17,619,43686,1.3971335063762556,9544,309459,2.9918213935292144,43114,2107604,2.004632871441072
2021-05-18,660,44486,1.4619235369689452,10092,313905,3.114843655959777,46065,2123812,2.1229313919636916
2021-05-19,653,43100,1.4924690878339772,10024,304031,3.1917976150674243,45439,2061303,2.1568374295476143
2021-05-20,632,43411,1.4349612878323457,9558,306291,3.026129574575193,45941,2094697,2.146135871642006
2021-05-21,652,43112,1.489808975413582,10246,305203,3.248068625990255,46932,2066636,2.2205105300610155
2021-05-22,623,42069,1.4592897966832192,9918,289613,3.3111764725520896,45871,2007269,2.2341876345500062
2021-05-23,618,42512,1.4328773475539067,9382,292391,3.108959383377572,43927,1997199,2.15209644088606
2021-05-24,662,46276,1.4103711278708082,9563,310216,2.990502816007305,45278,2144623,2.0675820505127858
2021-05-25,678,45477,1.4689632759181022,9684,313739,2.994221190206015,45206,2133619,2.0747880164767705
2021-05-26,685,44847,1.504436440305719,9690,310039,3.0306916169631157,45686,2114662,2.114751882567068
2021-05-27,701,43536,1.5846463367769064,9757,306166,3.088410783640317,47204,2071291,2.2281855751370667
2021-05-28,695,42027,1.6267964982912786,10446,292079,3.4529377737377076,51779,1981834,2.5461579956461726
