date,initial_downloads_ru,update_pings_ru,initial_downloads_en-US,update_pings_en-US
2020-12-27,7371,408374,60508,1727548
2020-12-28,7153,415102,61492,1826198
2020-12-29,7009,413015,61276,1833846
2020-12-30,7365,412360,59189,1795515
2020-12-31,6663,340448,51687,1598057
2021-01-01,8524,381599,60992,1650537
2021-01-02,8687,417250,62853,1798146
2021-01-03,8647,426971,69654,1836278
2021-01-04,8190,435111,64331,1919822
2021-01-05,7976,430986,66230,1880958
2021-01-06,7741,423209,63543,1866369
2021-01-07,7558,425399,63214,1871085
2021-01-08,7842,439176,63658,1872379
2021-01-09,7843,450556,74454,1903367
2021-01-10,7615,440710,77647,1962911
2021-01-11,7585,449459,80544,2029872
2021-01-12,7515,449407,76273,1988044
2021-01-13,8063,410597,80437,1776788
2021-01-14,8159,215563,84778,931040
2021-01-15,7443,197002,78423,827406
2021-01-16,7908,194256,78792,805296
2021-01-17,7461,189159,77324,796279
2021-01-18,7536,188631,82554,824603
2021-01-19,7179,187328,76820,819945
2021-01-20,7301,187689,73329,810745
2021-01-21,7033,187293,72416,809211
2021-01-22,7486,193361,73480,807351
2021-01-23,7587,190562,74061,796623
2021-01-24,7390,192723,68437,803406
2021-01-25,7941,190571,72910,824185
2021-01-26,6917,190595,73237,822302
2021-01-27,9092,191789,85724,809152
2021-01-28,9961,183496,82483,738834
2021-01-29,7465,180221,82233,744714
2021-01-30,7832,181166,87168,743772
2021-01-31,7357,178337,80204,745503
2021-02-01,7170,179168,77709,774624
2021-02-02,7174,177967,73642,770512
2021-02-03,6931,180869,85003,784279
2021-02-04,7774,183258,89397,783903
2021-02-05,7787,173703,81457,722770
2021-02-06,7764,173233,72758,714653
2021-02-07,8266,164021,75122,615151
2021-02-08,7528,170993,73164,739408
2021-02-09,7043,170953,72750,741532
2021-02-10,7215,172907,72775,747962
2021-02-11,7393,176436,74518,752018
2021-02-12,7382,182810,76609,755725
2021-02-13,7519,183492,77238,753618
2021-02-14,7005,178692,68798,744427
2021-02-15,6984,182094,68432,770951
2021-02-16,6904,182584,69050,777431
2021-02-17,7086,185228,76477,783434
2021-02-18,6839,184894,78566,789568
2021-02-19,7096,187036,68461,786870
2021-02-20,7422,188227,66773,779208
2021-02-21,7623,189485,66187,774157
2021-02-22,7584,191443,68452,804046
2021-02-23,7081,188835,68730,794953
2021-02-24,8287,175982,73370,741173
2021-02-25,7427,167749,73250,705647
2021-02-26,7404,176823,65418,714333
2021-02-27,8141,180608,65146,719818
2021-02-28,7517,179884,66885,724990
2021-03-01,7082,176533,67747,755161
2021-03-02,6631,176267,63785,748832
2021-03-03,6708,177762,65867,755261
2021-03-04,6665,107298,65202,575223
