date,users_bridge_ukr,users_relay_ukr,users_br_perc_ukr,users_bridge_rus,users_relay_rus,users_br_perc_rus,users_bridge,users_relay,users_br_perc,users_bridge_ir,users_relay_ir,users_br_perc_ir
2021-12-27,653,41357,1.5543918114734587,36346,188788,16.1441630317944,78588,2582025,2.9537553939637218,3179,11851,21.15103127079175
2021-12-28,642,41962,1.5069007604919726,37086,188408,16.446557336337108,80154,2487691,3.1214500875247535,3230,11904,21.342672128981103
2021-12-29,711,42154,1.6586959057506123,36549,188505,16.240102375429895,81248,2496662,3.151700408470427,3229,11558,21.836748495299926
2021-12-30,656,39507,1.6333441226999974,37017,185934,16.603199806235448,78933,2475604,3.0899141409969793,2733,10859,20.10741612713361
2021-12-31,643,37774,1.6737381888226568,36936,179789,17.042796170261852,78528,2352201,3.2306357475473404,3058,10576,22.4292210649846
2022-01-01,632,35966,1.7268703207825566,38469,180441,17.572975195285736,77558,2404170,3.1251611780178967,3693,11834,23.784375603786952
2022-01-02,692,36875,1.8420422179040115,39559,182609,17.805894638291743,81500,2458520,3.208636152471241,3790,12038,23.94490775840283
2022-01-03,680,38706,1.726501802671,40338,183642,18.009643718189125,82906,2595414,3.095447892708862,3825,12281,23.74891344840432
2022-01-04,670,41392,1.5928866910750799,40720,180537,18.40393750254229,82914,2755614,2.921021036255411,3765,12019,23.85326913329954
2022-01-05,654,42104,1.5295383320080453,42146,185335,18.527261617453767,83057,2844875,2.8367120547881575,4073,11756,25.731252763914338
2022-01-06,656,40524,1.5930063137445363,39864,181114,18.03980486745287,81915,2609876,3.0431411651201747,3292,10564,23.75866050808314
2022-01-07,668,39409,1.6667914265039798,39526,181951,17.8465484000596,80914,2453216,3.192969579303351,2786,10673,20.699903410357383
2022-01-08,640,38892,1.6189416169179398,39817,181110,18.022695279436192,80772,2401982,3.2533227214617315,2954,12019,19.72884525479196
2022-01-09,659,37953,1.7067232984564382,39262,182645,17.692997516977833,80834,2337007,3.343230592913264,3047,12125,20.083047719483258
2022-01-10,680,38664,1.7283448556323708,36187,181225,16.644435449745185,77591,2351345,3.1944439869967756,2946,11900,19.843728950559072
2022-01-11,717,38646,1.8215075070497675,31513,175984,15.18720752589194,73760,2392253,2.9910629019392845,2967,11904,19.95158361912447
2022-01-12,703,39428,1.7517629762527722,33437,172262,16.255305081697045,75046,2477919,2.9395624303505925,2890,11336,20.31491635034444
2022-01-13,730,39638,1.8083630598493854,34816,171315,16.890229999369332,77538,2492567,3.016919542197692,2766,10873,20.280079184690962
2022-01-14,715,38777,1.8104932644586247,35431,173120,16.989129757229644,78429,2427639,3.1295639224474354,2664,10680,19.964028776978417
2022-01-15,717,37848,1.8591987553481137,36428,170271,17.62369435749568,79828,2363299,3.2674519171537133,2990,11862,20.131968758416374
2022-01-16,764,38079,1.9668923615580671,36741,172963,17.52040972036776,80913,2412951,3.244483259712639,2941,12372,19.20590348070267
2022-01-17,752,38920,1.8955434563420044,33493,172535,16.25652823888015,77395,2503591,2.9986602019538267,2891,11866,19.590702717354475
2022-01-18,690,38936,1.7412809771362237,32427,165167,16.410923408605523,67901,2399660,2.751745549552777,2770,11567,19.320638906326288
2022-01-19,694,40464,1.686184945818553,32469,164026,16.524084582304894,73388,2468407,2.887250938805057,2674,11405,18.992826195042262
2022-01-20,710,39614,1.7607380220216247,33213,166384,16.640029659764423,74615,2478393,2.922630873072078,2608,10600,19.745608721986674
2022-01-22,711,34785,2.0030425963488847,35774,146640,19.611433332967863,78338,2081498,3.627034645223063,2772,10365,21.100707924183602
2022-01-23,771,35921,2.1012754823939823,35447,160334,18.105434133036404,81392,2310067,3.4034453444529054,3047,11178,21.420035149384887
2022-01-24,734,39781,1.8116746883870172,36218,169490,17.606510198922745,79155,2490152,3.0807918244102397,2778,11687,19.20497753197373
2022-01-25,745,41063,1.7819556065824722,34596,172261,16.724597185495295,77235,2410904,3.104127221188205,2759,11785,18.97002200220022
2022-01-26,745,41246,1.7741897073182349,29842,172399,14.755662798344549,70609,2497772,2.7491637728203098,2647,11331,18.936900844183718
2022-01-27,692,42084,1.6177295679820463,27254,174548,13.505317092992142,65842,2652483,2.4221533481095894,2397,10828,18.12476370510397
2022-01-28,663,42417,1.5389972144846795,27176,170471,13.749765996954167,64186,2607980,2.402021431303295,2254,10414,17.792863909062202
2022-01-29,655,39940,1.6134991994087942,28884,166360,14.793796480301571,65377,2342463,2.715172104458768,2440,11238,17.83886533118877
2022-01-30,669,39561,1.662938105891126,30410,163797,15.658549897789472,66736,2104915,3.0730536352296016,2377,11194,17.515289956524942
2022-01-31,674,41481,1.598861345036176,29510,167029,15.014831661909342,63767,2271585,2.730509148085599,2416,11408,17.47685185185185
2022-02-01,621,42441,1.4421067298314059,31180,165774,15.83110777135778,65601,2373602,2.689444052012071,2376,11887,16.65848699432097
2022-02-02,655,42107,1.531733782330106,27856,164063,14.514456619719779,63910,2376800,2.6185003544050707,2424,11447,17.47530819695768
2022-02-03,689,41188,1.6452945530959713,28035,164789,14.53916524913911,65120,2331828,2.716788182305165,2304,10511,17.97893094030433
2022-02-04,720,40862,1.7315184454812178,29759,170605,14.852468507316683,67974,2306019,2.863277187422204,2332,10248,18.537360890302068
2022-02-05,622,36959,1.6550916686623558,28873,165987,14.817304731602176,63928,2242113,2.7721970251179404,2367,11323,17.2899926953981
2022-02-06,673,38176,1.732348322994157,30432,173035,14.956725169192056,67154,2403659,2.7178908318840804,2444,11983,16.940458861856243
2022-02-07,674,41540,1.596626711517506,29115,170228,14.605478998510105,66795,2670674,2.4400276313631313,2485,11892,17.284551714544065
2022-02-08,659,44632,1.4550352167097216,27594,171531,13.857627118644068,64350,2565828,2.446602473292682,2375,12062,16.45078617441297
2022-02-09,690,45399,1.4971034303195991,28454,173413,14.095419261196728,66410,2456268,2.632519885613622,2391,11566,17.131188650856203
2022-02-10,668,44595,1.4758191016945408,28674,172135,14.27924047228959,65791,2454024,2.6109456448191635,2159,10544,16.995985200346375
