date,country,users,frac
2021-12-27,,78588,83
2021-12-28,,80154,84
2021-12-29,,81248,81
2021-12-30,,78933,87
2021-12-31,,78528,83
2022-01-01,,77558,76
2022-01-02,,81500,80
2022-01-03,,82906,84
2022-01-04,,82914,83
2022-01-05,,83057,77
2022-01-06,,81915,83
2022-01-07,,80914,84
2022-01-08,,80772,84
2022-01-09,,80834,83
2022-01-10,,77591,85
2022-01-11,,73760,83
2022-01-12,,75046,88
2022-01-13,,77538,85
2022-01-14,,78429,85
2022-01-15,,79828,84
2022-01-16,,80913,80
2022-01-17,,77395,87
2022-01-18,,67901,89
2022-01-19,,73388,90
2022-01-20,,74615,88
2022-01-21,,77421,84
2022-01-22,,78338,84
2022-01-23,,81392,77
2022-01-24,,79155,86
2022-01-25,,77235,86
2022-01-26,,70609,86
2022-01-27,,65842,90
2022-01-28,,64186,93
2022-01-29,,65377,91
2022-01-30,,66736,89
2022-01-31,,63767,88
2022-02-01,,65601,85
2022-02-02,,63910,94
2022-02-03,,65120,91
2022-02-04,,67974,91
2022-02-05,,63928,98
2022-02-06,,67154,92
2022-02-07,,66795,93
2022-02-08,,64350,96
2022-02-09,,66410,94
2022-02-10,,65791,96
2022-02-11,,66970,95
2022-02-12,,68863,96
2022-02-13,,67009,95
2022-02-14,,66210,95
2022-02-15,,66711,94
2022-02-16,,67310,94
2022-02-17,,67180,93
2022-02-18,,66455,93
2022-02-19,,73465,92
2022-02-20,,69263,96
2022-02-21,,75934,87
2022-02-22,,76867,79
2022-02-23,,77507,88
2022-02-24,,80912,85
2022-02-25,,88080,76
2022-02-26,,85621,91
2022-02-27,,83328,87
2022-02-28,,79945,88
2022-03-01,,78607,89
2022-03-02,,81086,87
2022-03-03,,78244,95
2022-03-04,,79931,95
2022-03-05,,77985,100
2022-03-06,,81839,88
2022-03-07,,82169,90
2022-03-08,,80243,92
2022-03-09,,76112,87
2022-03-10,,77042,93
2022-03-11,,76353,89
2022-03-12,,86573,94
2022-03-13,,83490,94
2022-03-14,,85319,93
2022-03-15,,83339,94
2022-03-16,,80897,93
2022-03-17,,79699,78
2022-03-18,,82099,85
2022-03-19,,88080,90
2022-03-20,,85802,91
2022-03-21,,85650,87
2022-03-22,,89921,87
2022-03-23,,83830,83
2022-03-24,,88675,84
2022-03-25,,95327,83
2022-03-26,,84451,93
2022-03-27,,90890,88
2022-03-28,,90408,87
2022-03-29,,82649,90
2022-03-30,,81466,93
2022-03-31,,84827,93
2022-04-01,,82528,81
2022-04-02,,81314,90
2022-04-03,,84061,93
2022-04-04,,81044,93
2022-04-05,,90477,93
2022-04-06,,83121,93
2022-04-07,,74990,93
2022-04-08,,77571,89
2022-04-09,,70582,93
2022-04-10,,71367,93
2022-04-11,,69067,93
2022-04-12,,67835,93
2022-04-13,,70636,90
2022-04-14,,70339,90
2022-04-15,,69717,93
2022-04-16,,70347,93
2022-04-17,,70765,93
2022-04-18,,70526,94
2022-04-19,,70617,94
2022-04-20,,69560,94
2022-04-21,,69068,87
2022-04-22,,70663,94
2022-04-23,,69647,92
2022-04-24,,69993,92
2022-04-25,,71348,92
2022-04-26,,69745,93
2022-04-27,,69497,94
2022-04-28,,69043,92
2022-04-29,,68440,89
2022-04-30,,68368,92
2022-05-01,,67647,93
2022-05-02,,69142,93
2022-05-03,,70942,90
2022-05-04,,68913,90
2022-05-05,,71004,92
2022-05-06,,68430,85
2022-05-07,,67643,93
2022-05-08,,66909,91
2022-05-09,,71403,94
2022-05-10,,73564,86
2022-05-11,,71469,91
2022-05-12,,62958,83
2022-05-13,,69911,94
2022-05-14,,71364,95
2022-05-15,,70332,95
2022-05-16,,70804,94
2022-05-17,,71908,95
2022-05-18,,71646,93
2022-05-19,,67966,88
2022-05-20,,68058,87
2022-05-21,,70625,94
2022-05-22,,71623,94
2022-05-23,,71856,93
2022-05-24,,71296,83
2022-05-25,,72251,93
