date,country,users,frac
2021-12-27,ua,653,83
2021-12-28,ua,642,84
2021-12-29,ua,711,81
2021-12-30,ua,656,87
2021-12-31,ua,643,83
2022-01-01,ua,632,76
2022-01-02,ua,692,80
2022-01-03,ua,680,84
2022-01-04,ua,670,83
2022-01-05,ua,654,77
2022-01-06,ua,656,83
2022-01-07,ua,668,84
2022-01-08,ua,640,84
2022-01-09,ua,659,83
2022-01-10,ua,680,85
2022-01-11,ua,717,83
2022-01-12,ua,703,88
2022-01-13,ua,730,85
2022-01-14,ua,715,85
2022-01-15,ua,717,84
2022-01-16,ua,764,80
2022-01-17,ua,752,87
2022-01-18,ua,690,89
2022-01-19,ua,694,90
2022-01-20,ua,710,88
2022-01-21,ua,701,84
2022-01-22,ua,711,84
2022-01-23,ua,771,77
2022-01-24,ua,734,86
2022-01-25,ua,745,86
2022-01-26,ua,745,86
2022-01-27,ua,692,90
2022-01-28,ua,663,93
2022-01-29,ua,655,91
2022-01-30,ua,669,89
2022-01-31,ua,674,88
2022-02-01,ua,621,85
2022-02-02,ua,655,94
2022-02-03,ua,689,91
2022-02-04,ua,720,91
2022-02-05,ua,622,98
2022-02-06,ua,673,92
2022-02-07,ua,674,93
2022-02-08,ua,659,96
2022-02-09,ua,690,94
2022-02-10,ua,668,96
2022-02-11,ua,666,95
2022-02-12,ua,666,96
2022-02-13,ua,657,95
2022-02-14,ua,672,95
2022-02-15,ua,675,94
2022-02-16,ua,708,94
2022-02-17,ua,706,93
2022-02-18,ua,705,93
2022-02-19,ua,710,92
2022-02-20,ua,694,96
2022-02-21,ua,760,87
2022-02-22,ua,744,79
2022-02-23,ua,820,88
2022-02-24,ua,1250,85
2022-02-25,ua,1284,76
2022-02-26,ua,1035,91
2022-02-27,ua,1029,87
2022-02-28,ua,985,88
2022-03-01,ua,1025,89
2022-03-02,ua,1023,87
2022-03-03,ua,986,95
2022-03-04,ua,950,95
2022-03-05,ua,895,100
2022-03-06,ua,901,88
2022-03-07,ua,901,90
2022-03-08,ua,928,92
2022-03-09,ua,845,87
2022-03-10,ua,917,93
2022-03-11,ua,851,89
2022-03-12,ua,897,94
2022-03-13,ua,913,94
2022-03-14,ua,877,93
2022-03-15,ua,883,94
2022-03-16,ua,877,93
2022-03-17,ua,832,78
2022-03-18,ua,952,85
2022-03-19,ua,931,90
2022-03-20,ua,887,91
2022-03-21,ua,912,87
2022-03-22,ua,957,87
2022-03-23,ua,860,83
2022-03-24,ua,1000,84
2022-03-25,ua,996,83
2022-03-26,ua,857,93
2022-03-27,ua,929,88
2022-03-28,ua,935,87
2022-03-29,ua,868,90
2022-03-30,ua,904,93
2022-03-31,ua,867,93
2022-04-01,ua,787,81
2022-04-02,ua,829,90
2022-04-03,ua,864,93
2022-04-04,ua,886,93
2022-04-05,ua,896,93
2022-04-06,ua,859,93
2022-04-07,ua,868,93
2022-04-08,ua,886,89
2022-04-09,ua,817,93
2022-04-10,ua,834,93
2022-04-11,ua,851,93
2022-04-12,ua,850,93
2022-04-13,ua,860,90
2022-04-14,ua,858,90
2022-04-15,ua,838,93
2022-04-16,ua,796,93
2022-04-17,ua,845,93
2022-04-18,ua,877,94
2022-04-19,ua,867,94
2022-04-20,ua,825,94
2022-04-21,ua,779,87
2022-04-22,ua,841,94
2022-04-23,ua,782,92
2022-04-24,ua,758,92
2022-04-25,ua,847,92
2022-04-26,ua,849,93
2022-04-27,ua,806,94
2022-04-28,ua,838,92
2022-04-29,ua,856,89
2022-04-30,ua,764,92
2022-05-01,ua,753,93
2022-05-02,ua,784,93
2022-05-03,ua,852,90
2022-05-04,ua,905,90
2022-05-05,ua,1010,92
2022-05-06,ua,977,85
2022-05-07,ua,992,93
2022-05-08,ua,1051,91
2022-05-09,ua,1086,94
2022-05-10,ua,1061,86
2022-05-11,ua,1056,91
2022-05-12,ua,977,83
2022-05-13,ua,1003,94
2022-05-14,ua,1023,95
2022-05-15,ua,995,95
2022-05-16,ua,1006,94
2022-05-17,ua,1019,95
2022-05-18,ua,1002,93
2022-05-19,ua,947,88
2022-05-20,ua,978,87
2022-05-21,ua,959,94
2022-05-22,ua,936,94
2022-05-23,ua,1041,93
2022-05-24,ua,999,83
2022-05-25,ua,1020,93
