date,country,users,lower,upper,frac
2021-12-27,ru,188788,89009,332790,92
2021-12-28,ru,188408,109443,288289,93
2021-12-29,ru,188505,119579,269942,94
2021-12-30,ru,185934,134711,256229,94
2021-12-31,ru,179789,121038,278169,94
2022-01-01,ru,180441,113531,281905,94
2022-01-02,ru,182609,125005,261139,93
2022-01-03,ru,183642,111394,270422,91
2022-01-04,ru,180537,127115,266121,91
2022-01-05,ru,185335,137095,265881,90
2022-01-06,ru,181114,122369,264707,93
2022-01-07,ru,181951,97537,297430,92
2022-01-08,ru,181110,113617,280167,93
2022-01-09,ru,182645,120874,250681,95
2022-01-10,ru,181225,119997,240417,95
2022-01-11,ru,175984,136516,209112,96
2022-01-12,ru,172262,130605,214612,96
2022-01-13,ru,171315,121998,227785,95
2022-01-14,ru,173120,124228,230012,96
2022-01-15,ru,170271,132817,222212,95
2022-01-16,ru,172963,136410,229280,94
2022-01-17,ru,172535,135090,230981,95
2022-01-18,ru,165167,129719,221833,97
2022-01-19,ru,164026,136302,210030,97
2022-01-20,ru,166384,122055,226521,97
2022-01-22,ru,146640,109046,196927,108
2022-01-23,ru,160334,119649,210766,100
2022-01-24,ru,169490,124180,229785,96
2022-01-25,ru,172261,125446,224647,94
2022-01-26,ru,172399,118750,225153,94
2022-01-27,ru,174548,121196,230835,93
2022-01-28,ru,170471,0,0,96
2022-01-29,ru,166360,112627,230604,97
2022-01-30,ru,163797,110274,227129,98
2022-01-31,ru,167029,111316,227462,97
2022-02-01,ru,165774,104837,238633,95
2022-02-02,ru,164063,101349,246994,96
2022-02-03,ru,164789,108023,229462,96
2022-02-04,ru,170605,108822,238866,96
2022-02-05,ru,165987,119895,209195,99
2022-02-06,ru,173035,115171,229279,95
2022-02-07,ru,170228,100633,255113,94
2022-02-08,ru,171531,112044,236858,93
2022-02-09,ru,173413,119509,220344,96
2022-02-10,ru,172135,127428,219371,96
2022-02-11,ru,172933,125871,231893,97
2022-02-12,ru,171496,124571,224411,97
2022-02-13,ru,170960,137150,216633,96
2022-02-14,ru,169769,133928,210095,96
2022-02-15,ru,167744,126411,216883,96
2022-02-16,ru,154825,124589,229011,92
2022-02-17,ru,131845,119168,219490,96
2022-02-18,ru,131180,117548,223468,96
2022-02-19,ru,126385,126537,215317,95
2022-02-20,ru,124539,118603,220526,94
2022-02-21,ru,127862,107116,230803,94
2022-02-22,ru,135373,139098,213538,91
2022-02-23,ru,130333,93520,223022,92
2022-02-24,ru,133103,96245,180670,92
2022-02-25,ru,126653,103421,166914,93
2022-02-26,ru,123963,100136,161457,93
2022-02-27,ru,126561,90340,164072,90
2022-02-28,ru,127944,86420,174685,88
2022-03-01,ru,121699,86931,160229,98
2022-03-02,ru,136469,92519,166305,92
2022-03-03,ru,131576,96998,170631,94
2022-03-04,ru,136815,95507,171740,91
2022-03-05,ru,137670,88543,166716,92
2022-03-06,ru,139176,73235,188388,90
2022-03-07,ru,138169,72766,196507,88
2022-03-08,ru,134226,72443,200936,90
2022-03-09,ru,136656,84438,189510,88
2022-03-10,ru,140563,98500,168712,88
2022-03-11,ru,137670,112606,161996,90
2022-03-12,ru,135554,106331,166286,91
2022-03-13,ru,131517,87009,176228,94
2022-03-14,ru,141347,99438,175029,91
2022-03-15,ru,140850,95695,177445,92
2022-03-16,ru,139626,94769,189197,90
2022-03-17,ru,139046,103765,186010,89
2022-03-18,ru,131731,106159,164912,92
2022-03-19,ru,128556,100006,167260,93
2022-03-20,ru,126641,93197,182774,92
2022-03-21,ru,129828,92821,185772,91
