#
# The Tor Project
#
# URL: https://metrics.torproject.org/webstats-tb-locale.csv?start=2021-12-27&end=2022-05-28
#
date,locale,initial_downloads,update_pings
2021-12-27,ar,100,1410
2021-12-27,de,4161,197022
2021-12-27,en-US,97506,1597810
2021-12-27,es-ES,2367,51681
2021-12-27,fa,72,508
2021-12-27,fr,1876,53087
2021-12-27,it,805,23995
2021-12-27,ko,118,1863
2021-12-27,nl,110,2246
2021-12-27,pl,219,6197
2021-12-27,ru,3776,344400
2021-12-27,tr,225,7638
2021-12-27,vi,71,95
2021-12-27,zh-CN,1142,9105
2021-12-27,??,55,1014
2021-12-27,ja,172,12310
2021-12-27,my,68,4
2021-12-27,pt-BR,1137,12744
2021-12-27,th,69,11
2021-12-27,da,75,456
2021-12-27,he,65,136
2021-12-27,sv-SE,108,715
2021-12-27,zh-TW,1282,49614
2021-12-27,ca,97,783
2021-12-27,ga-IE,71,9
2021-12-27,id,77,115
2021-12-27,is,70,45
2021-12-27,nb-NO,73,156
2021-12-27,cs,94,1250
2021-12-27,el,91,212
2021-12-27,hu,219,1074
2021-12-27,ka,73,26
2021-12-27,es-AR,155,1191
2021-12-27,ro,74,148
2021-12-27,mk,68,12
2021-12-27,lt,82,40
2021-12-27,ms,71,17
2021-12-28,ar,218,1302
2021-12-28,de,4039,196403
2021-12-28,en-US,94444,1603765
2021-12-28,es-ES,2364,50191
2021-12-28,fa,203,445
2021-12-28,fr,2079,53614
2021-12-28,it,854,23005
2021-12-28,ko,243,2061
2021-12-28,nl,197,2276
2021-12-28,pl,307,6254
2021-12-28,ru,3562,338132
2021-12-28,tr,311,7920
2021-12-28,vi,182,120
2021-12-28,zh-CN,1247,8767
2021-12-28,??,104,874
2021-12-28,ja,276,12021
2021-12-28,my,184,6
2021-12-28,pt-BR,1278,12433
2021-12-28,th,178,10
2021-12-28,da,182,384
2021-12-28,he,186,102
2021-12-28,sv-SE,196,712
2021-12-28,zh-TW,1275,50104
2021-12-28,ca,214,724
2021-12-28,ga-IE,171,6
2021-12-28,id,192,136
2021-12-28,is,206,63
2021-12-28,nb-NO,176,159
2021-12-28,cs,213,1188
2021-12-28,el,188,340
2021-12-28,hu,317,1066
2021-12-28,ka,183,17
2021-12-28,es-AR,274,2538
2021-12-28,ro,190,121
2021-12-28,mk,173,13
2021-12-28,lt,171,48
2021-12-28,ms,169,6
2021-12-29,ar,260,1378
2021-12-29,de,4192,196886
2021-12-29,en-US,93379,1610564
2021-12-29,es-ES,2355,48026
2021-12-29,fa,219,466
2021-12-29,fr,1931,53152
2021-12-29,it,815,23100
2021-12-29,ko,248,1931
2021-12-29,nl,263,2190
2021-12-29,pl,356,5986
2021-12-29,ru,3682,340115
2021-12-29,tr,387,7877
2021-12-29,vi,207,101
2021-12-29,zh-CN,1278,9169
2021-12-29,??,127,806
2021-12-29,ja,309,11583
2021-12-29,my,210,2
2021-12-29,pt-BR,1186,12436
2021-12-29,th,212,19
2021-12-29,da,226,368
2021-12-29,he,210,124
2021-12-29,sv-SE,232,696
2021-12-29,zh-TW,1353,50741
2021-12-29,ca,227,782
2021-12-29,ga-IE,204,8
2021-12-29,id,220,155
2021-12-29,is,215,58
2021-12-29,nb-NO,211,190
2021-12-29,cs,243,1186
2021-12-29,el,230,265
2021-12-29,hu,373,1116
2021-12-29,ka,224,13
2021-12-29,es-AR,283,933
2021-12-29,ro,211,111
2021-12-29,mk,220,7
2021-12-29,lt,204,47
2021-12-29,ms,204,12
2021-12-30,ar,143,1504
2021-12-30,de,4044,197848
2021-12-30,en-US,95217,1576255
2021-12-30,es-ES,2094,48291
2021-12-30,fa,115,470
2021-12-30,fr,1763,52826
2021-12-30,it,684,22776
2021-12-30,ko,151,1957
2021-12-30,nl,132,2163
2021-12-30,pl,246,5857
2021-12-30,ru,3504,332720
2021-12-30,tr,232,7620
2021-12-30,vi,95,115
2021-12-30,zh-CN,1135,9216
2021-12-30,??,89,752
2021-12-30,ja,222,10611
2021-12-30,my,112,6
2021-12-30,pt-BR,1152,12372
2021-12-30,th,97,8
2021-12-30,da,129,432
2021-12-30,he,99,86
2021-12-30,sv-SE,127,660
2021-12-30,zh-TW,1071,50348
2021-12-30,ca,132,843
2021-12-30,ga-IE,109,11
2021-12-30,id,119,122
2021-12-30,is,112,50
2021-12-30,nb-NO,103,200
2021-12-30,cs,139,1264
2021-12-30,el,122,253
2021-12-30,hu,214,1157
2021-12-30,ka,113,19
2021-12-30,es-AR,188,880
2021-12-30,ro,113,125
2021-12-30,mk,109,15
2021-12-30,lt,98,50
2021-12-30,ms,113,14
2021-12-31,ar,104,1405
2021-12-31,de,2881,159863
2021-12-31,en-US,88023,1382608
2021-12-31,es-ES,1607,40553
2021-12-31,fa,57,369
2021-12-31,fr,1300,45019
2021-12-31,it,559,19032
2021-12-31,ko,103,1847
2021-12-31,nl,89,1752
2021-12-31,pl,171,4792
2021-12-31,ru,2651,271100
2021-12-31,tr,172,6570
2021-12-31,vi,54,98
