date,initial_downloads_ru,update_pings_ru,initial_downloads_en-US,update_pings_en-US
2021-12-27,3776,344400,97506,1597810
2021-12-28,3562,338132,94444,1603765
2021-12-29,3682,340115,93379,1610564
2021-12-30,3504,332720,95217,1576255
2021-12-31,2651,271100,88023,1382608
2022-01-01,3279,302934,91806,1463608
2022-01-02,3654,332261,89336,1578668
2022-01-03,3866,338418,74458,1661255
2022-01-04,3698,336278,71018,1685320
2022-01-05,3728,335641,76951,1626724
2022-01-06,3264,327424,88066,1613375
2022-01-07,3301,327131,88040,1699319
2022-01-08,3510,336676,92196,1639750
2022-01-09,3339,339174,90050,1649161
2022-01-10,3635,337832,88962,1684691
2022-01-11,4424,330188,91496,1633818
2022-01-12,4247,239834,98847,1124042
2022-01-13,3993,193562,91300,1004029
2022-01-14,3812,185658,84440,884113
2022-01-15,3526,180967,91662,915294
2022-01-16,3513,172207,90303,833375
2022-01-17,3053,165164,89277,809251
2022-01-18,3142,160087,79297,781057
2022-01-19,3098,158338,95293,775294
2022-01-20,3041,161483,80792,767181
2022-01-21,3210,164207,89635,769839
2022-01-22,3339,163158,88100,760474
2022-01-23,3025,159760,87806,763839
2022-01-24,3132,156877,87750,783645
2022-01-25,3235,163903,88307,787641
2022-01-26,3215,156935,86975,777571
2022-01-27,3146,153319,86422,758919
2022-01-28,3122,156147,85608,758771
2022-01-29,3344,153103,88081,739465
2022-01-30,3323,152267,85956,725042
2022-01-31,3092,150607,85618,747980
2022-02-01,3104,147843,83719,741867
2022-02-02,3162,147590,84765,738814
2022-02-03,3007,149052,83540,739157
2022-02-04,3062,151762,86928,732138
2022-02-05,3179,150245,85471,719516
2022-02-06,2948,148472,86098,731091
2022-02-07,3010,148584,77998,746609
2022-02-08,3162,148245,52999,748866
2022-02-09,3989,146977,58295,743670
2022-02-10,3613,147620,61129,739956
2022-02-11,3463,148932,57310,733762
2022-02-12,4658,148130,56826,724358
2022-02-13,3169,144468,55398,726659
2022-02-14,2979,142847,53241,733746
2022-02-15,3021,143651,54073,765417
2022-02-16,3267,136708,54968,796970
2022-02-17,3283,136096,53301,761981
2022-02-18,3485,137052,54331,794542
2022-02-19,3623,135677,54673,761960
2022-02-20,3241,135839,53796,748350
2022-02-21,3179,134710,54307,739360
2022-02-22,3149,137599,54416,741767
2022-02-23,3245,136148,53128,765814
2022-02-24,5296,132534,56209,787291
2022-02-25,6154,140295,59577,796133
2022-02-26,8206,144148,67834,763060
2022-02-27,7861,144652,67691,754192
2022-02-28,9644,152994,64254,779159
2022-03-01,9447,155033,65434,801792
2022-03-02,12332,165236,68582,782212
2022-03-03,9531,159025,63143,762419
2022-03-04,13232,169933,73524,779754
2022-03-05,10788,173553,74907,793981
2022-03-06,9659,168157,66306,775898
2022-03-07,9762,169990,63349,775891
2022-03-08,8260,165794,61204,741968
2022-03-09,10661,171565,70793,763324
2022-03-10,8642,167970,68641,804715
2022-03-11,8960,170960,66721,768092
2022-03-12,9112,175564,66055,729760
2022-03-13,7886,168352,64166,730184
2022-03-14,7525,170719,64185,747062
2022-03-15,7098,168670,61831,740407
2022-03-16,6523,160550,58646,730982
2022-03-17,6132,158792,57976,722310
2022-03-18,7422,164939,58603,719749
2022-03-19,8064,165439,71564,715226
2022-03-20,6511,160082,64290,719539
2022-03-21,5671,157138,61828,729447
2022-03-22,5318,157227,59840,722563
2022-03-23,5617,158691,58648,723875
2022-03-24,5304,157272,56455,727573
2022-03-25,5553,159087,54922,711483
2022-03-26,5043,156386,55487,703454
2022-03-27,5126,156407,55283,711296
