#
# The Tor Project
#
# URL: https://metrics.torproject.org/userstats-bridge-country.csv?start=2020-12-27&end=2021-05-28&country=all
#
date,country,users,frac
2020-12-27,,37592,91
2020-12-28,,38468,94
2020-12-29,,40258,86
2020-12-30,,40872,85
2020-12-31,,38128,86
2021-01-01,,37384,82
2021-01-02,,39191,79
2021-01-03,,39817,86
2021-01-04,,39906,83
2021-01-05,,39866,83
2021-01-06,,39226,68
2021-01-07,,39788,85
2021-01-08,,39463,86
2021-01-09,,37301,68
2021-01-10,,32644,85
2021-01-11,,33146,83
2021-01-12,,37418,84
2021-01-13,,40929,81
2021-01-14,,40708,86
2021-01-15,,40070,86
2021-01-16,,40522,68
2021-01-17,,39424,82
2021-01-18,,40298,85
2021-01-19,,41101,86
2021-01-20,,40346,86
2021-01-21,,40292,86
2021-01-22,,40139,85
2021-01-23,,40392,86
2021-01-24,,40606,86
2021-01-25,,40694,86
2021-01-26,,40562,86
2021-01-27,,39821,82
2021-01-28,,41335,66
2021-01-29,,41322,85
2021-01-30,,40322,86
2021-01-31,,40205,86
2021-02-01,,40887,83
2021-02-02,,41691,83
2021-02-03,,41873,79
2021-02-04,,42234,80
2021-02-05,,42175,83
2021-02-06,,42030,85
2021-02-07,,42143,85
2021-02-08,,42266,84
2021-02-09,,42023,81
2021-02-10,,41777,84
2021-02-11,,41344,75
2021-02-12,,44434,81
2021-02-13,,45997,86
2021-02-14,,44294,87
2021-02-15,,43764,82
2021-02-16,,43375,85
2021-02-17,,43470,86
2021-02-18,,46580,83
2021-02-19,,46097,81
2021-02-20,,45717,57
2021-02-21,,45684,68
2021-02-22,,47138,68
2021-02-23,,45503,72
2021-02-24,,42687,74
2021-02-25,,42194,77
2021-02-26,,42080,78
2021-02-27,,41381,67
2021-02-28,,41546,84
2021-03-01,,41925,81
2021-03-02,,41714,83
2021-03-03,,43643,82
2021-03-04,,47900,78
2021-03-05,,47257,77
2021-03-06,,46484,77
2021-03-07,,46757,72
2021-03-08,,48732,73
2021-03-09,,49729,76
2021-03-10,,49685,77
2021-03-11,,49510,77
2021-03-12,,49961,78
2021-03-13,,49991,78
2021-03-14,,49777,78
2021-03-15,,50044,78
2021-03-16,,51198,72
2021-03-17,,51516,55
2021-03-18,,48130,76
2021-03-19,,44566,83
2021-03-20,,40128,70
2021-03-21,,41324,75
2021-03-22,,40728,83
2021-03-23,,40747,81
2021-03-24,,41611,84
2021-03-25,,40697,83
2021-03-26,,40878,83
2021-03-27,,39576,69
2021-03-28,,41915,73
2021-03-29,,45359,69
2021-03-30,,41834,83
2021-03-31,,42847,80
2021-04-01,,43233,78
2021-04-02,,43626,76
2021-04-03,,43374,77
2021-04-04,,42457,76
2021-04-05,,43966,80
2021-04-06,,45533,81
2021-04-07,,45139,80
2021-04-08,,45512,76
2021-04-09,,45306,74
2021-04-10,,45039,80
2021-04-11,,43984,77
2021-04-12,,45444,75
2021-04-13,,45168,79
2021-04-14,,43551,69
2021-04-15,,43429,80
2021-04-16,,43064,81
2021-04-17,,42537,70
2021-04-18,,43476,81
2021-04-19,,45709,80
2021-04-20,,45929,76
2021-04-21,,46531,78
2021-04-22,,50076,76
2021-04-23,,49692,77
2021-04-24,,48693,77
2021-04-25,,49088,76
2021-04-26,,48911,78
2021-04-27,,47483,78
2021-04-28,,50505,76
2021-04-29,,51089,76
2021-04-30,,49561,75
2021-05-01,,47190,72
2021-05-02,,46374,79
2021-05-03,,47718,80
2021-05-04,,48160,79
2021-05-05,,47645,78
2021-05-06,,49098,79
2021-05-07,,48895,76
2021-05-08,,47877,78
2021-05-09,,46459,76
2021-05-10,,46041,76
2021-05-11,,46891,80
2021-05-12,,44828,80
2021-05-13,,45426,59
2021-05-14,,40674,79
2021-05-15,,41324,78
2021-05-16,,41671,72
2021-05-17,,43114,76
2021-05-18,,46065,69
2021-05-19,,45439,74
2021-05-20,,45941,72
2021-05-21,,46932,72
2021-05-22,,45871,75
2021-05-23,,43927,78
2021-05-24,,45278,79
2021-05-25,,45206,80
2021-05-26,,45686,79
2021-05-27,,47204,78
2021-05-28,,51779,72
