#
# The Tor Project
#
# URL: https://metrics.torproject.org/userstats-bridge-country.csv?start=2020-12-27&end=2021-05-28&country=ru
#
date,country,users,frac
2020-12-27,ru,8223,91
2020-12-28,ru,8349,94
2020-12-29,ru,8982,86
2020-12-30,ru,9406,85
2020-12-31,ru,8820,86
2021-01-01,ru,8521,82
2021-01-02,ru,8904,79
2021-01-03,ru,8969,86
2021-01-04,ru,8993,83
2021-01-05,ru,8883,83
2021-01-06,ru,7593,68
2021-01-07,ru,8651,85
2021-01-08,ru,8727,86
2021-01-09,ru,7174,68
2021-01-10,ru,6848,85
2021-01-11,ru,7040,83
2021-01-12,ru,8066,84
2021-01-13,ru,8424,81
2021-01-14,ru,8814,86
2021-01-15,ru,8923,86
2021-01-16,ru,8104,68
2021-01-17,ru,8647,82
2021-01-18,ru,8575,85
2021-01-19,ru,8700,86
2021-01-20,ru,8608,86
2021-01-21,ru,8782,86
2021-01-22,ru,8909,85
2021-01-23,ru,8948,86
2021-01-24,ru,8865,86
2021-01-25,ru,8772,86
2021-01-26,ru,8655,86
2021-01-27,ru,8854,82
2021-01-28,ru,8986,66
2021-01-29,ru,9612,85
2021-01-30,ru,9280,86
2021-01-31,ru,8974,86
2021-02-01,ru,8921,83
2021-02-02,ru,8967,83
2021-02-03,ru,9043,79
2021-02-04,ru,9497,80
2021-02-05,ru,9673,83
2021-02-06,ru,9665,85
2021-02-07,ru,9347,85
2021-02-08,ru,9334,84
2021-02-09,ru,9311,81
2021-02-10,ru,9674,84
2021-02-11,ru,9592,75
2021-02-12,ru,10070,81
2021-02-13,ru,9711,86
2021-02-14,ru,9301,87
2021-02-15,ru,9184,82
2021-02-16,ru,9273,85
2021-02-17,ru,9253,86
2021-02-18,ru,9100,83
2021-02-19,ru,9515,81
2021-02-20,ru,8847,57
2021-02-21,ru,9914,68
2021-02-22,ru,10257,68
2021-02-23,ru,9853,72
2021-02-24,ru,9746,74
2021-02-25,ru,9587,77
2021-02-26,ru,10033,78
2021-02-27,ru,8868,67
2021-02-28,ru,9402,84
2021-03-01,ru,9181,81
2021-03-02,ru,9148,83
2021-03-03,ru,9418,82
2021-03-04,ru,10052,78
2021-03-05,ru,10302,77
2021-03-06,ru,10432,77
2021-03-07,ru,10700,72
2021-03-08,ru,10278,73
2021-03-09,ru,10220,76
2021-03-10,ru,10225,77
2021-03-11,ru,10309,77
2021-03-12,ru,10628,78
2021-03-13,ru,10563,78
2021-03-14,ru,10478,78
2021-03-15,ru,10411,78
2021-03-16,ru,10187,72
2021-03-17,ru,9105,55
2021-03-18,ru,9869,76
2021-03-19,ru,9688,83
2021-03-20,ru,8196,70
2021-03-21,ru,9463,75
2021-03-22,ru,9012,83
2021-03-23,ru,8575,81
2021-03-24,ru,9219,84
2021-03-25,ru,9219,83
2021-03-26,ru,9432,83
2021-03-27,ru,7906,69
2021-03-28,ru,9655,73
2021-03-29,ru,10300,69
2021-03-30,ru,9069,83
2021-03-31,ru,9207,80
2021-04-01,ru,9251,78
2021-04-02,ru,9574,76
2021-04-03,ru,10079,77
2021-04-04,ru,10014,76
2021-04-05,ru,10092,80
2021-04-06,ru,11176,81
2021-04-07,ru,10409,80
2021-04-08,ru,10509,76
2021-04-09,ru,10980,74
2021-04-10,ru,10604,80
2021-04-11,ru,10466,77
2021-04-12,ru,10593,75
2021-04-13,ru,10109,79
2021-04-14,ru,8823,69
2021-04-15,ru,10117,80
2021-04-16,ru,10269,81
2021-04-17,ru,8970,70
2021-04-18,ru,9800,81
2021-04-19,ru,10080,80
2021-04-20,ru,10009,76
2021-04-21,ru,10126,78
2021-04-22,ru,10629,76
2021-04-23,ru,10799,77
2021-04-24,ru,10697,77
2021-04-25,ru,10776,76
2021-04-26,ru,10529,78
2021-04-27,ru,10152,78
2021-04-28,ru,10070,76
2021-04-29,ru,10578,76
2021-04-30,ru,11035,75
2021-05-01,ru,10714,72
2021-05-02,ru,10228,79
2021-05-03,ru,10358,80
2021-05-04,ru,10423,79
2021-05-05,ru,10338,78
2021-05-06,ru,10298,79
2021-05-07,ru,10339,76
2021-05-08,ru,10163,78
2021-05-09,ru,10045,76
2021-05-10,ru,10090,76
2021-05-11,ru,9718,80
2021-05-12,ru,9279,80
2021-05-13,ru,9218,59
2021-05-14,ru,10002,79
2021-05-15,ru,10077,78
2021-05-16,ru,9741,72
2021-05-17,ru,9544,76
2021-05-18,ru,10092,69
2021-05-19,ru,10024,74
2021-05-20,ru,9558,72
2021-05-21,ru,10246,72
2021-05-22,ru,9918,75
2021-05-23,ru,9382,78
2021-05-24,ru,9563,79
2021-05-25,ru,9684,80
2021-05-26,ru,9690,79
2021-05-27,ru,9757,78
2021-05-28,ru,10446,72
