#
# The Tor Project
#
# URL: https://metrics.torproject.org/userstats-bridge-country.csv?start=2020-12-27&end=2021-05-28&country=ua
#
date,country,users,frac
2020-12-27,ua,635,91
2020-12-28,ua,642,94
2020-12-29,ua,689,86
2020-12-30,ua,701,85
2020-12-31,ua,624,86
2021-01-01,ua,613,82
2021-01-02,ua,637,79
2021-01-03,ua,668,86
2021-01-04,ua,673,83
2021-01-05,ua,685,83
2021-01-06,ua,654,68
2021-01-07,ua,649,85
2021-01-08,ua,689,86
2021-01-09,ua,664,68
2021-01-10,ua,541,85
2021-01-11,ua,534,83
2021-01-12,ua,610,84
2021-01-13,ua,668,81
2021-01-14,ua,671,86
2021-01-15,ua,671,86
2021-01-16,ua,704,68
2021-01-17,ua,642,82
2021-01-18,ua,651,85
2021-01-19,ua,649,86
2021-01-20,ua,644,86
2021-01-21,ua,662,86
2021-01-22,ua,684,85
2021-01-23,ua,679,86
2021-01-24,ua,699,86
2021-01-25,ua,688,86
2021-01-26,ua,661,86
2021-01-27,ua,646,82
2021-01-28,ua,670,66
2021-01-29,ua,681,85
2021-01-30,ua,681,86
2021-01-31,ua,678,86
2021-02-01,ua,669,83
2021-02-02,ua,675,83
2021-02-03,ua,665,79
2021-02-04,ua,703,80
2021-02-05,ua,683,83
2021-02-06,ua,646,85
2021-02-07,ua,675,85
2021-02-08,ua,703,84
2021-02-09,ua,687,81
2021-02-10,ua,673,84
2021-02-11,ua,698,75
2021-02-12,ua,701,81
2021-02-13,ua,667,86
2021-02-14,ua,644,87
2021-02-15,ua,640,82
2021-02-16,ua,651,85
2021-02-17,ua,647,86
2021-02-18,ua,631,83
2021-02-19,ua,646,81
2021-02-20,ua,607,57
2021-02-21,ua,664,68
2021-02-22,ua,705,68
2021-02-23,ua,705,72
2021-02-24,ua,712,74
2021-02-25,ua,682,77
2021-02-26,ua,705,78
2021-02-27,ua,675,67
2021-02-28,ua,682,84
2021-03-01,ua,706,81
2021-03-02,ua,686,83
2021-03-03,ua,694,82
2021-03-04,ua,735,78
2021-03-05,ua,732,77
2021-03-06,ua,741,77
2021-03-07,ua,786,72
2021-03-08,ua,774,73
2021-03-09,ua,772,76
2021-03-10,ua,781,77
2021-03-11,ua,791,77
2021-03-12,ua,794,78
2021-03-13,ua,765,78
2021-03-14,ua,761,78
2021-03-15,ua,783,78
2021-03-16,ua,771,72
2021-03-17,ua,794,55
2021-03-18,ua,715,76
2021-03-19,ua,662,83
2021-03-20,ua,669,70
2021-03-21,ua,674,75
2021-03-22,ua,674,83
2021-03-23,ua,674,81
2021-03-24,ua,674,84
2021-03-25,ua,672,83
2021-03-26,ua,672,83
2021-03-27,ua,635,69
2021-03-28,ua,702,73
2021-03-29,ua,775,69
2021-03-30,ua,673,83
2021-03-31,ua,680,80
2021-04-01,ua,645,78
2021-04-02,ua,643,76
2021-04-03,ua,667,77
2021-04-04,ua,706,76
2021-04-05,ua,735,80
2021-04-06,ua,728,81
2021-04-07,ua,757,80
2021-04-08,ua,759,76
2021-04-09,ua,726,74
2021-04-10,ua,705,80
2021-04-11,ua,721,77
2021-04-12,ua,739,75
2021-04-13,ua,734,79
2021-04-14,ua,734,69
2021-04-15,ua,700,80
2021-04-16,ua,712,81
2021-04-17,ua,739,70
2021-04-18,ua,715,81
2021-04-19,ua,784,80
2021-04-20,ua,750,76
2021-04-21,ua,719,78
2021-04-22,ua,763,76
2021-04-23,ua,735,77
2021-04-24,ua,710,77
2021-04-25,ua,714,76
2021-04-26,ua,728,78
2021-04-27,ua,730,78
2021-04-28,ua,726,76
2021-04-29,ua,756,76
2021-04-30,ua,746,75
2021-05-01,ua,659,72
2021-05-02,ua,645,79
2021-05-03,ua,697,80
2021-05-04,ua,711,79
2021-05-05,ua,695,78
2021-05-06,ua,699,79
2021-05-07,ua,677,76
2021-05-08,ua,663,78
2021-05-09,ua,640,76
2021-05-10,ua,669,76
2021-05-11,ua,692,80
2021-05-12,ua,652,80
2021-05-13,ua,712,59
2021-05-14,ua,612,79
2021-05-15,ua,600,78
2021-05-16,ua,583,72
2021-05-17,ua,619,76
2021-05-18,ua,660,69
2021-05-19,ua,653,74
2021-05-20,ua,632,72
2021-05-21,ua,652,72
2021-05-22,ua,623,75
2021-05-23,ua,618,78
2021-05-24,ua,662,79
2021-05-25,ua,678,80
2021-05-26,ua,685,79
2021-05-27,ua,701,78
2021-05-28,ua,695,72
