#
# The Tor Project
#
# URL: https://metrics.torproject.org/userstats-bridge-country.csv?start=2021-12-27&end=2022-05-28&country=ir
#
date,country,users,frac
2021-12-27,ir,3179,83
2021-12-28,ir,3230,84
2021-12-29,ir,3229,81
2021-12-30,ir,2733,87
2021-12-31,ir,3058,83
2022-01-01,ir,3693,76
2022-01-02,ir,3790,80
2022-01-03,ir,3825,84
2022-01-04,ir,3765,83
2022-01-05,ir,4073,77
2022-01-06,ir,3292,83
2022-01-07,ir,2786,84
2022-01-08,ir,2954,84
2022-01-09,ir,3047,83
2022-01-10,ir,2946,85
2022-01-11,ir,2967,83
2022-01-12,ir,2890,88
2022-01-13,ir,2766,85
2022-01-14,ir,2664,85
2022-01-15,ir,2990,84
2022-01-16,ir,2941,80
2022-01-17,ir,2891,87
2022-01-18,ir,2770,89
2022-01-19,ir,2674,90
2022-01-20,ir,2608,88
2022-01-21,ir,2574,84
2022-01-22,ir,2772,84
2022-01-23,ir,3047,77
2022-01-24,ir,2778,86
2022-01-25,ir,2759,86
2022-01-26,ir,2647,86
2022-01-27,ir,2397,90
2022-01-28,ir,2254,93
2022-01-29,ir,2440,91
2022-01-30,ir,2377,89
2022-01-31,ir,2416,88
2022-02-01,ir,2376,85
2022-02-02,ir,2424,94
2022-02-03,ir,2304,91
2022-02-04,ir,2332,91
2022-02-05,ir,2367,98
2022-02-06,ir,2444,92
2022-02-07,ir,2485,93
2022-02-08,ir,2375,96
2022-02-09,ir,2391,94
2022-02-10,ir,2159,96
2022-02-11,ir,2118,95
2022-02-12,ir,2469,96
2022-02-13,ir,2405,95
2022-02-14,ir,2309,95
2022-02-15,ir,2155,94
2022-02-16,ir,2368,94
2022-02-17,ir,2246,93
2022-02-18,ir,2151,93
2022-02-19,ir,2473,92
2022-02-20,ir,2370,96
2022-02-21,ir,2633,87
2022-02-22,ir,2600,79
2022-02-23,ir,2594,88
2022-02-24,ir,2413,85
2022-02-25,ir,2313,76
2022-02-26,ir,2409,91
2022-02-27,ir,2359,87
2022-02-28,ir,2254,88
2022-03-01,ir,2144,89
2022-03-02,ir,2353,87
2022-03-03,ir,2227,95
2022-03-04,ir,2137,95
2022-03-05,ir,2255,100
2022-03-06,ir,2216,88
2022-03-07,ir,2229,90
2022-03-08,ir,2284,92
2022-03-09,ir,2015,87
2022-03-10,ir,2050,93
2022-03-11,ir,1912,89
2022-03-12,ir,2147,94
2022-03-13,ir,2147,94
2022-03-14,ir,2116,93
2022-03-15,ir,2068,94
2022-03-16,ir,2039,93
2022-03-17,ir,1725,78
2022-03-18,ir,1735,85
2022-03-19,ir,1844,90
2022-03-20,ir,1672,91
2022-03-21,ir,1685,87
2022-03-22,ir,1794,87
2022-03-23,ir,1630,83
2022-03-24,ir,1728,84
2022-03-25,ir,1821,83
2022-03-26,ir,1820,93
2022-03-27,ir,1954,88
2022-03-28,ir,2006,87
2022-03-29,ir,1862,90
2022-03-30,ir,1841,93
2022-03-31,ir,1744,93
2022-04-01,ir,1592,81
2022-04-02,ir,1664,90
2022-04-03,ir,2033,93
2022-04-04,ir,2094,93
2022-04-05,ir,2100,93
2022-04-06,ir,2101,93
2022-04-07,ir,1924,93
2022-04-08,ir,1971,89
2022-04-09,ir,2079,93
2022-04-10,ir,2084,93
2022-04-11,ir,2062,93
2022-04-12,ir,2036,93
2022-04-13,ir,1986,90
2022-04-14,ir,1884,90
2022-04-15,ir,1832,93
2022-04-16,ir,2012,93
2022-04-17,ir,2056,93
2022-04-18,ir,2082,94
2022-04-19,ir,2128,94
2022-04-20,ir,2062,94
2022-04-21,ir,1846,87
2022-04-22,ir,1858,94
2022-04-23,ir,1897,92
2022-04-24,ir,2090,92
2022-04-25,ir,2148,92
2022-04-26,ir,2126,93
2022-04-27,ir,2119,94
2022-04-28,ir,1936,92
2022-04-29,ir,1812,89
2022-04-30,ir,2047,92
2022-05-01,ir,2064,93
2022-05-02,ir,1983,93
2022-05-03,ir,1800,90
2022-05-04,ir,1758,90
2022-05-05,ir,1866,92
2022-05-06,ir,1759,85
2022-05-07,ir,2065,93
2022-05-08,ir,2138,91
2022-05-09,ir,2090,94
2022-05-10,ir,1973,86
2022-05-11,ir,2003,91
2022-05-12,ir,1739,83
2022-05-13,ir,2290,94
2022-05-14,ir,3028,95
2022-05-15,ir,2853,95
2022-05-16,ir,2601,94
2022-05-17,ir,2524,95
2022-05-18,ir,2376,93
2022-05-19,ir,1998,88
2022-05-20,ir,1832,87
2022-05-21,ir,2167,94
2022-05-22,ir,2133,94
2022-05-23,ir,2116,93
2022-05-24,ir,1901,84
2022-05-25,ir,2131,94
2022-05-26,ir,2004,91
