#
# The Tor Project
#
# URL: https://metrics.torproject.org/userstats-relay-country.csv?start=2020-12-27&end=2021-05-28&country=all&events=off
#
date,country,users,lower,upper,frac
2020-12-27,,2244586,,,87
2020-12-28,,2326926,,,89
2020-12-29,,2318827,,,89
2020-12-30,,2271025,,,89
2020-12-31,,2131874,,,90
2021-01-01,,2148267,,,86
2021-01-02,,2205771,,,83
2021-01-03,,2220916,,,83
2021-01-04,,2343856,,,84
2021-01-05,,2432189,,,83
2021-01-07,,2252166,,,84
2021-01-08,,2279236,,,81
2021-01-09,,1948607,,,98
2021-01-11,,2525170,,,105
2021-01-12,,2676349,,,101
2021-01-13,,2427259,,,83
2021-01-14,,2328561,,,83
2021-01-15,,2328039,,,81
2021-01-16,,2251113,,,82
2021-01-17,,2283719,,,79
2021-01-18,,2383947,,,78
2021-01-19,,2473653,,,75
2021-01-21,,2388745,,,84
2021-01-22,,2231991,,,84
2021-01-23,,2159225,,,84
2021-01-24,,2135645,,,85
2021-01-25,,2208451,,,86
2021-01-26,,2168848,,,88
2021-01-27,,2891403,,,98
2021-01-28,,4176461,,,90
2021-01-29,,2096609,,,90
2021-01-30,,1979425,,,90
2021-01-31,,1995595,,,90
2021-02-01,,2240069,,,83
2021-02-02,,2201021,,,81
2021-02-03,,2281578,,,80
2021-02-04,,2345653,,,80
2021-02-05,,2256186,,,79
2021-02-06,,2207700,,,80
2021-02-07,,2064193,,,87
2021-02-08,,2318438,,,84
2021-02-09,,2414572,,,76
2021-02-10,,2335105,,,77
2021-02-11,,2191131,,,84
2021-02-12,,2165908,,,84
2021-02-13,,2136585,,,84
2021-02-14,,2117452,,,85
2021-02-15,,2282797,,,86
2021-02-16,,2244242,,,81
2021-02-17,,2208656,,,83
2021-02-18,,2255781,,,82
2021-02-19,,2218039,,,83
2021-02-20,,2143197,,,82
2021-02-21,,2157780,,,81
2021-02-22,,2319929,,,85
2021-02-23,,2137154,,,89
2021-02-24,,2065278,,,93
2021-02-25,,2075988,,,93
2021-02-26,,2021917,,,93
2021-02-27,,1929814,,,93
2021-02-28,,1929617,,,94
2021-03-01,,2111874,,,89
2021-03-02,,2155648,,,84
2021-03-03,,2103033,,,90
2021-03-04,,2102367,,,89
2021-03-05,,2079469,,,87
2021-03-06,,2065159,,,87
2021-03-07,,2051887,,,87
2021-03-08,,2115219,,,85
2021-03-09,,2196867,,,83
2021-03-10,,2173142,,,86
2021-03-11,,2144258,,,85
2021-03-12,,2139019,,,86
2021-03-13,,2061958,,,86
2021-03-14,,2062443,,,86
2021-03-15,,2161118,,,87
2021-03-16,,2173178,,,82
2021-03-17,,2208272,,,81
2021-03-18,,2153251,,,85
2021-03-19,,2141880,,,85
2021-03-20,,2090602,,,85
2021-03-21,,2122915,,,83
2021-03-22,,2225022,,,81
2021-03-23,,2283670,,,82
2021-03-24,,2283188,,,82
2021-03-25,,2280650,,,80
2021-03-26,,2210108,,,81
2021-03-27,,2031097,,,87
2021-03-28,,2016153,,,84
2021-03-29,,2008438,,,87
2021-03-30,,1933183,,,88
2021-03-31,,1963011,,,84
2021-04-01,,2003498,,,82
2021-04-02,,1988766,,,83
2021-04-03,,1997659,,,83
2021-04-04,,2019771,,,83
2021-04-05,,2101762,,,83
2021-04-06,,2153045,,,83
2021-04-07,,2182407,,,82
2021-04-08,,2220595,,,84
2021-04-09,,2224121,,,84
2021-04-10,,2183576,,,83
2021-04-11,,2282064,,,83
2021-04-12,,2363423,,,83
2021-04-13,,2381422,,,83
2021-04-14,,2352123,,,82
2021-04-15,,2400137,,,83
2021-04-16,,2361454,,,83
2021-04-17,,2154786,,,83
2021-04-18,,2063030,,,84
2021-04-19,,2158133,,,85
2021-04-20,,2055400,,,85
2021-04-21,,2097554,,,84
2021-04-22,,2175512,,,86
2021-04-23,,2140776,,,88
2021-04-24,,2021919,,,87
2021-04-25,,2030131,,,86
2021-04-26,,2139015,,,87
2021-04-27,,2146619,,,86
2021-04-28,,2059651,,,89
2021-04-29,,2050236,,,90
2021-04-30,,1997016,,,90
2021-05-01,,1998079,,,85
2021-05-02,,2021842,,,85
2021-05-03,,2163268,,,84
2021-05-04,,2239705,,,81
2021-05-05,,2235230,,,85
2021-05-06,,2215725,,,87
2021-05-07,,2195463,,,87
2021-05-08,,2147172,,,86
2021-05-09,,2120693,,,84
2021-05-10,,2192230,,,85
2021-05-11,,2260122,,,83
2021-05-12,,2089234,,,83
2021-05-13,,1967551,,,85
2021-05-14,,1946744,,,86
2021-05-15,,1948074,,,86
2021-05-16,,1957306,,,86
2021-05-17,,2107604,,,86
2021-05-18,,2123812,,,85
2021-05-19,,2061303,,,83
2021-05-20,,2094697,,,84
2021-05-21,,2066636,,,84
2021-05-22,,2007269,,,86
2021-05-23,,1997199,,,87
2021-05-24,,2144623,,,85
2021-05-25,,2133619,,,85
2021-05-26,,2114662,,,85
2021-05-27,,2071291,,,86
2021-05-28,,1981834,,,91
