#
# The Tor Project
#
# URL: https://metrics.torproject.org/userstats-relay-country.csv?start=2020-12-27&end=2021-05-28&country=ir&events=off
#
date,country,users,lower,upper,frac
2020-12-27,ir,28107,0,113385,87
2020-12-28,ir,33157,3758,90302,89
2020-12-29,ir,36697,7972,65700,89
2020-12-30,ir,36272,5679,31678,89
2020-12-31,ir,34314,38,24905,90
2021-01-01,ir,35889,0,23509,86
2021-01-02,ir,39051,7639,25798,83
2021-01-03,ir,38424,19815,37531,83
2021-01-04,ir,36631,21225,47725,84
2021-01-05,ir,37868,1262,81257,83
2021-01-07,ir,36119,4330,70641,84
2021-01-08,ir,36337,1737,77887,81
2021-01-09,ir,29655,0,73497,98
2021-01-11,ir,26065,0,143553,105
2021-01-12,ir,29685,0,142803,101
2021-01-13,ir,36441,,,83
2021-01-14,ir,35213,14049,61983,83
2021-01-15,ir,36222,12299,63503,81
2021-01-16,ir,36807,0,78435,82
2021-01-17,ir,37665,,,79
2021-01-18,ir,39424,0,94690,78
2021-01-19,ir,42263,0,88774,75
2021-01-21,ir,36149,0,77628,84
2021-01-22,ir,35911,18583,51301,84
2021-01-23,ir,38110,22939,48428,84
2021-01-24,ir,38060,20017,53658,85
2021-01-25,ir,37816,24443,52985,86
2021-01-26,ir,36692,8195,70939,88
2021-01-27,ir,32149,,,98
2021-01-28,ir,33714,0,148553,90
2021-01-29,ir,32804,22509,45466,90
2021-01-30,ir,35250,19134,51146,90
2021-01-31,ir,35810,20169,49566,90
2021-02-01,ir,37975,23526,51234,83
2021-02-02,ir,37990,22438,48375,81
2021-02-03,ir,38880,0,66483,80
2021-02-04,ir,37321,0,73191,80
2021-02-05,ir,37428,24134,44357,79
2021-02-06,ir,38923,25196,50659,80
2021-02-07,ir,35306,20512,53878,87
2021-02-08,ir,36675,24275,53064,84
2021-02-09,ir,37476,28539,53367,76
2021-02-10,ir,34405,25913,52645,77
2021-02-11,ir,32612,19300,52046,84
2021-02-12,ir,33855,11117,61911,84
2021-02-13,ir,35697,20402,55297,84
2021-02-14,ir,34733,16541,56956,85
2021-02-15,ir,34577,18339,53422,86
2021-02-16,ir,34298,23457,48862,81
2021-02-17,ir,34368,23196,44044,83
2021-02-18,ir,35251,24727,44320,82
2021-02-19,ir,34728,24827,45315,83
2021-02-20,ir,36364,24867,47279,82
2021-02-21,ir,37257,23122,47124,81
2021-02-22,ir,35454,25919,45562,85
2021-02-23,ir,33783,24501,43482,89
2021-02-24,ir,32450,24028,42085,93
2021-02-25,ir,30936,19229,47577,93
2021-02-26,ir,30621,25127,39417,93
2021-02-27,ir,32014,23840,44695,93
2021-02-28,ir,32109,20339,48879,94
2021-03-01,ir,33590,24398,46129,89
2021-03-02,ir,34333,24201,45643,84
2021-03-03,ir,31880,23605,42218,90
2021-03-04,ir,30339,20130,42155,89
2021-03-05,ir,30962,22299,40986,87
2021-03-06,ir,32895,20795,47999,87
2021-03-07,ir,32971,20543,47734,87
2021-03-08,ir,33526,20052,48528,85
2021-03-09,ir,33616,24903,46227,83
2021-03-10,ir,32132,23418,43406,86
2021-03-11,ir,31002,24596,38372,85
2021-03-12,ir,31077,21760,42246,86
2021-03-13,ir,33664,24187,41588,86
2021-03-14,ir,32297,23204,43358,86
2021-03-15,ir,31141,21360,47716,87
2021-03-16,ir,30418,22141,44061,82
2021-03-17,ir,29203,21110,42889,81
2021-03-18,ir,27421,19598,40638,85
2021-03-19,ir,27195,17518,44222,85
2021-03-20,ir,27262,19680,47470,85
2021-03-21,ir,26676,16849,47366,83
2021-03-22,ir,26850,14534,47306,81
2021-03-23,ir,26596,15074,47476,82
2021-03-24,ir,26321,16574,42860,82
2021-03-25,ir,26770,17578,38664,80
2021-03-26,ir,25937,18240,35812,81
2021-03-27,ir,26187,19075,33134,87
2021-03-28,ir,26587,16876,34770,84
2021-03-29,ir,24492,15117,33751,87
2021-03-30,ir,24550,13328,32696,88
2021-03-31,ir,25729,10317,36539,84
2021-04-01,ir,25473,9688,38793,82
2021-04-02,ir,25096,11429,35351,83
2021-04-03,ir,29524,13513,37772,83
2021-04-04,ir,29489,13965,39122,83
2021-04-05,ir,29467,15766,35105,83
2021-04-06,ir,29810,12902,41437,83
2021-04-07,ir,29604,14036,43589,82
2021-04-08,ir,27385,14158,42197,84
2021-04-09,ir,26770,15386,39159,84
2021-04-10,ir,29878,17780,45330,83
2021-04-11,ir,32119,17490,45168,83
2021-04-12,ir,33232,16907,46573,83
2021-04-13,ir,33970,19135,42459,83
2021-04-14,ir,33506,20167,39140,82
2021-04-15,ir,31938,19588,36886,83
2021-04-16,ir,31642,15308,40843,83
2021-04-17,ir,31172,17627,42944,83
2021-04-18,ir,29866,14736,49486,84
2021-04-19,ir,30295,18094,49183,85
2021-04-20,ir,27201,21468,45223,85
2021-04-21,ir,30817,23021,44137,84
2021-04-22,ir,33772,17937,46363,86
2021-04-23,ir,32953,17628,45971,88
2021-04-24,ir,37726,18948,42819,87
2021-04-25,ir,37911,19043,40401,86
2021-04-26,ir,37357,17815,40564,87
2021-04-27,ir,33982,16081,40127,86
2021-04-28,ir,31398,19534,41549,89
2021-04-29,ir,29598,22064,42593,90
2021-04-30,ir,28181,16782,46963,90
2021-05-01,ir,32957,22355,55518,85
2021-05-02,ir,33821,22769,52213,85
2021-05-03,ir,33160,22450,52654,84
2021-05-04,ir,30706,22443,47935,81
2021-05-05,ir,31026,22926,43816,85
2021-05-06,ir,27649,19574,42461,87
2021-05-07,ir,26929,16949,41790,87
2021-05-08,ir,30582,16900,48510,86
2021-05-09,ir,31032,19414,47191,84
2021-05-10,ir,29251,16606,45813,85
2021-05-11,ir,30885,16011,44003,83
2021-05-12,ir,30290,18019,42235,83
2021-05-13,ir,25260,16337,37405,85
2021-05-14,ir,25523,17804,34195,86
2021-05-15,ir,30095,17146,43939,86
2021-05-16,ir,32206,18542,45877,86
2021-05-17,ir,33254,17639,46540,86
2021-05-18,ir,31754,18772,45029,85
2021-05-19,ir,27571,18872,42689,83
2021-05-20,ir,26413,16065,36735,84
2021-05-21,ir,26108,15191,37786,84
2021-05-22,ir,30617,14881,48948,86
2021-05-23,ir,29776,18778,48127,87
2021-05-24,ir,32343,20643,47457,85
2021-05-25,ir,32759,23461,40972,85
2021-05-26,ir,32933,15636,42384,85
2021-05-27,ir,30817,16883,36019,86
2021-05-28,ir,27703,16331,34449,91
