#
# The Tor Project
#
# URL: https://metrics.torproject.org/userstats-relay-country.csv?start=2020-12-27&end=2021-05-28&country=ru&events=off
#
date,country,users,lower,upper,frac
2020-12-27,ru,335037,0,786265,87
2020-12-28,ru,343418,29010,681305,89
2020-12-29,ru,343044,78894,632846,89
2020-12-30,ru,341685,112959,603374,89
2020-12-31,ru,311808,1154,708332,90
2021-01-01,ru,313827,0,701105,86
2021-01-02,ru,328676,161033,520135,83
2021-01-03,ru,328030,239989,440441,83
2021-01-04,ru,342207,222982,487466,84
2021-01-05,ru,367822,11960,749810,83
2021-01-07,ru,365376,39885,633437,84
2021-01-08,ru,374044,15391,672357,81
2021-01-09,ru,306479,0,611083,98
2021-01-11,ru,314452,0,1323809,105
2021-01-12,ru,355265,0,1369345,101
2021-01-13,ru,404182,,,83
2021-01-14,ru,381460,144064,618732,83
2021-01-15,ru,386179,128331,645043,81
2021-01-16,ru,366665,0,798751,82
2021-01-17,ru,362676,,,79
2021-01-18,ru,348925,0,1123942,78
2021-01-19,ru,370616,0,1046412,75
2021-01-21,ru,356876,0,829519,84
2021-01-22,ru,336671,200860,539643,84
2021-01-23,ru,320996,231587,476142,84
2021-01-24,ru,323952,195290,510067,85
2021-01-25,ru,337886,219069,463198,86
2021-01-26,ru,333595,72739,614731,88
2021-01-27,ru,319916,,,98
2021-01-28,ru,388969,0,1447322,90
2021-01-29,ru,341018,213862,420704,90
2021-01-30,ru,317807,163212,425500,90
2021-01-31,ru,325041,173859,416683,90
2021-02-01,ru,360160,212924,452047,83
2021-02-02,ru,346396,206695,434195,81
2021-02-03,ru,345434,0,652362,80
2021-02-04,ru,351343,0,832553,80
2021-02-05,ru,350601,254501,454688,79
2021-02-06,ru,344703,230218,450798,80
2021-02-07,ru,315568,188676,482718,87
2021-02-08,ru,372146,233246,496884,84
2021-02-09,ru,392833,263602,480491,76
2021-02-10,ru,371526,233162,461966,77
2021-02-11,ru,351755,184090,483700,84
2021-02-12,ru,347086,105507,572549,84
2021-02-13,ru,314437,182979,483677,84
2021-02-14,ru,312854,149831,502482,85
2021-02-15,ru,325732,188607,534976,86
2021-02-16,ru,327223,249204,505495,81
2021-02-17,ru,332289,254043,469087,83
2021-02-18,ru,341878,270591,471306,82
2021-02-19,ru,341260,258127,458232,83
2021-02-20,ru,336006,221954,411106,82
2021-02-21,ru,323055,211088,418913,81
2021-02-22,ru,316677,247513,423522,85
2021-02-23,ru,302759,236991,409300,89
2021-02-24,ru,306623,235526,401451,93
2021-02-25,ru,317484,189044,455321,93
2021-02-26,ru,315592,250326,382164,93
2021-02-27,ru,301968,223219,407670,93
2021-02-28,ru,299213,178644,418525,94
2021-03-01,ru,327749,220841,406699,89
2021-03-02,ru,332128,219854,403626,84
2021-03-03,ru,317565,226210,393459,90
2021-03-04,ru,314444,209646,426443,89
2021-03-05,ru,318189,233248,416348,87
2021-03-06,ru,310156,198945,446495,87
2021-03-07,ru,306157,194150,438705,87
2021-03-08,ru,305804,198400,467077,85
2021-03-09,ru,334927,244245,441201,83
2021-03-10,ru,333399,236650,426331,86
2021-03-11,ru,330816,258743,391952,85
2021-03-12,ru,329898,226934,427944,86
2021-03-13,ru,315476,231259,386788,86
2021-03-14,ru,315516,218481,397166,86
