#
# The Tor Project
#
# URL: https://metrics.torproject.org/userstats-relay-country.csv?start=2021-12-27&end=2022-05-28&country=ua&events=off
#
date,country,users,lower,upper,frac
2021-12-27,ua,41357,20602,78417,92
2021-12-28,ua,41962,26229,70306,93
2021-12-29,ua,42154,28190,64796,94
2021-12-30,ua,39507,30802,59677,94
2021-12-31,ua,37774,25805,60479,94
2022-01-01,ua,35966,23374,59227,94
2022-01-02,ua,36875,25608,54591,93
2022-01-03,ua,38706,24164,59813,91
2022-01-04,ua,41392,28038,59836,91
2022-01-05,ua,42104,30363,60022,90
2022-01-06,ua,40524,25737,56808,93
2022-01-07,ua,39409,20279,63135,92
2022-01-08,ua,38892,22399,56446,93
2022-01-09,ua,37953,24147,51158,95
2022-01-10,ua,38664,25031,51188,95
2022-01-11,ua,38646,31000,48398,96
2022-01-12,ua,39428,29388,49215,96
2022-01-13,ua,39638,27029,51460,95
2022-01-14,ua,38777,26636,50314,96
2022-01-15,ua,37848,28231,48199,95
2022-01-16,ua,38079,28050,48136,94
2022-01-17,ua,38920,28526,49778,95
2022-01-18,ua,38936,28198,49201,97
2022-01-19,ua,40464,30891,48540,97
2022-01-20,ua,39614,27965,52917,97
2022-01-22,ua,34785,23993,44213,108
2022-01-23,ua,35921,26073,46869,100
2022-01-24,ua,39781,27733,52345,96
2022-01-25,ua,41063,29283,53468,94
2022-01-26,ua,41246,29020,56057,94
2022-01-27,ua,42084,28578,55482,93
2022-01-28,ua,42417,,,96
2022-01-29,ua,39940,26442,55259,97
2022-01-30,ua,39561,24449,51409,98
2022-01-31,ua,41481,25874,53898,97
2022-02-01,ua,42441,24755,57416,95
2022-02-02,ua,42107,24019,59642,96
2022-02-03,ua,41188,25803,55831,96
2022-02-04,ua,40862,26831,59970,96
2022-02-05,ua,36959,28510,50698,99
2022-02-06,ua,38176,27550,55900,95
2022-02-07,ua,41540,24761,63934,94
2022-02-08,ua,44632,28428,61177,93
2022-02-09,ua,45399,30396,57054,96
2022-02-10,ua,44595,31556,55330,96
2022-02-11,ua,42908,29862,56060,97
2022-02-12,ua,40483,27452,50476,97
2022-02-13,ua,40114,29951,48275,96
2022-02-14,ua,41198,32378,51739,96
2022-02-15,ua,41922,32606,56917,96
2022-02-16,ua,43372,32338,60463,92
2022-02-17,ua,41692,30604,57352,96
2022-02-18,ua,42100,28902,55944,96
2022-02-19,ua,41261,29585,51307,95
2022-02-20,ua,41492,27561,52237,94
2022-02-21,ua,44426,25750,56527,94
2022-02-22,ua,44558,34445,53849,91
2022-02-23,ua,54718,25977,62999,92
2022-02-24,ua,133715,30190,57584,92
2022-02-25,ua,150913,32929,53986,93
2022-02-26,ua,126954,32433,53123,93
2022-02-27,ua,109761,29864,55082,90
2022-02-28,ua,100378,29808,61131,88
2022-03-01,ua,87859,28397,53133,98
2022-03-02,ua,90777,38623,70208,92
2022-03-03,ua,83216,97447,171411,94
2022-03-04,ua,78854,113901,204458,91
2022-03-05,ua,74435,90691,170716,92
2022-03-06,ua,71661,63465,163506,90
2022-03-07,ua,69513,57011,154374,88
2022-03-08,ua,65592,52200,145334,90
2022-03-09,ua,63638,56038,126344,88
2022-03-10,ua,62358,62131,106983,88
2022-03-11,ua,58513,64692,93662,90
2022-03-12,ua,56722,57281,90230,91
2022-03-13,ua,54746,44624,91093,94
2022-03-14,ua,55362,49821,88416,91
2022-03-15,ua,53234,46557,87088,92
2022-03-16,ua,53466,43924,88515,90
2022-03-17,ua,53861,45802,82928,89
2022-03-18,ua,50425,44877,70464,92
2022-03-19,ua,48149,41614,70373,93
2022-03-20,ua,47003,38575,76508,92
2022-03-21,ua,48416,36139,73189,91
2022-03-22,ua,47784,33353,69628,93
2022-03-23,ua,46500,35480,64493,95
2022-03-24,ua,45817,35165,65136,95
2022-03-25,ua,45156,37750,60669,94
2022-03-26,ua,42253,34753,59241,94
2022-03-27,ua,42157,33212,58951,93
2022-03-28,ua,42150,32252,63982,93
2022-03-29,ua,41276,34283,61416,94
2022-03-30,ua,41865,35358,61152,93
2022-03-31,ua,41521,36084,56730,94
2022-04-01,ua,41370,33656,56879,92
2022-04-02,ua,40514,28764,56918,92
2022-04-03,ua,39578,31021,53387,93
2022-04-04,ua,40674,30190,54151,93
2022-04-05,ua,41182,31255,52362,93
2022-04-06,ua,40459,31120,54281,93
2022-04-07,ua,39094,33675,49355,93
2022-04-08,ua,39203,31780,52509,91
2022-04-09,ua,37979,28778,54109,91
2022-04-10,ua,37687,26489,52630,91
2022-04-11,ua,39518,27315,53944,90
2022-04-12,ua,40743,29532,52993,92
2022-04-13,ua,41005,27346,53564,91
2022-04-14,ua,41033,13919,62846,88
2022-04-15,ua,39109,13203,60735,87
2022-04-16,ua,37924,24159,48301,87
2022-04-17,ua,37973,25765,46738,90
2022-04-18,ua,39859,25279,51553,91
2022-04-19,ua,39703,30729,49149,88
2022-04-20,ua,39235,30171,51167,88
2022-04-21,ua,38811,23001,60868,90
2022-04-22,ua,38402,16856,66545,91
2022-04-23,ua,36618,24690,56207,90
2022-04-24,ua,34456,27209,53796,90
2022-04-25,ua,34977,27180,53639,96
2022-04-26,ua,38076,29712,52324,91
2022-04-27,ua,38617,29425,52890,90
2022-04-28,ua,38457,29282,51285,90
2022-04-29,ua,37715,23338,55954,87
2022-04-30,ua,34866,19387,52147,87
2022-05-01,ua,35463,12510,54643,88
2022-05-02,ua,38115,8202,60603,87
2022-05-03,ua,40021,6027,64945,86
2022-05-04,ua,39413,11490,62034,84
2022-05-05,ua,39006,24041,53951,83
2022-05-06,ua,36930,23037,53344,85
2022-05-07,ua,34190,20278,51362,87
2022-05-08,ua,34931,10323,65360,87
2022-05-09,ua,37378,3184,80623,87
2022-05-10,ua,37589,9803,74623,87
2022-05-11,ua,37577,22462,55758,87
2022-05-12,ua,37441,23506,51588,87
2022-05-13,ua,36040,25605,46421,88
2022-05-14,ua,34616,27588,41279,88
2022-05-15,ua,36288,21678,49098,85
2022-05-16,ua,36594,21833,52097,86
2022-05-17,ua,36733,23375,52918,88
2022-05-18,ua,38154,26419,51457,85
2022-05-19,ua,38574,26214,52156,85
2022-05-20,ua,37370,29824,44513,83
2022-05-21,ua,37308,25130,50777,81
2022-05-22,ua,36490,24971,52187,82
2022-05-23,ua,37653,24875,55318,82
2022-05-24,ua,35871,26470,49723,84
2022-05-25,ua,38280,28250,52746,77
